"Step","110-dynamic","110-dynamic - dead-1__MIN","110-dynamic - dead-1__MAX","110-ofb","110-ofbt - dead-1__MIN","110-ofbt - dead-1__MAX","110-static-1","110-static-1 - dead-1__MIN","110-static-1 - dead-1__MAX","110-every-100","110-every-100 - dead-1__MIN","110-every-100 - dead-1__MAX","110-every-10","110-every-10 - dead-1__MIN","110-every-10 - dead-1__MAX"
"563","","","","","","","","","","","","","0","0","0"
"565","","","","","","","","","","","","","0","0","0"
"566","","","","","","","","","","0","0","0","","",""
"570","0","0","0","","","","0","0","0","","","","","",""
"577","","","","","","","","","","0","0","0","","",""
"578","","","","","","","0","0","0","","","","","",""
"579","","","","","","","0","0","0","","","","","",""
"584","","","","","","","0","0","0","","","","","",""
"588","","","","","","","0","0","0","","","","","",""
"593","","","","0","0","0","","","","","","","","",""
"594","","","","","","","","","","","","","0","0","0"
"600","0","0","0","","","","","","","","","","","",""
"603","","","","","","","","","","","","","0","0","0"
"608","","","","0","0","0","","","","","","","","",""
"618","","","","0","0","0","","","","","","","","",""
"620","","","","","","","","","","","","","5","5","5"
"624","0","0","0","","","","","","","","","","","",""
"625","","","","","","","0","0","0","","","","","",""
"626","0","0","0","","","","","","","0","0","0","","",""
"631","","","","","","","0","0","0","","","","","",""
"632","0","0","0","","","","","","","","","","","",""
"633","","","","0","0","0","0","0","0","","","","","",""
"637","","","","","","","","","","","","","0","0","0"
"639","","","","","","","0","0","0","","","","","",""
"646","0","0","0","","","","","","","","","","","",""
"650","","","","","","","0","0","0","","","","","",""
"658","","","","","","","0","0","0","","","","","",""
"659","","","","0","0","0","","","","","","","","",""
"661","","","","","","","","","","0","0","0","","",""
"664","","","","","","","","","","","","","0","0","0"
"665","","","","","","","","","","0","0","0","","",""
"666","","","","0","0","0","","","","","","","","",""
"672","","","","","","","","","","","","","0","0","0"
"674","","","","","","","","","","0","0","0","","",""
"680","","","","0","0","0","","","","","","","","",""
"681","","","","","","","","","","","","","0","0","0"
"684","","","","","","","","","","0","0","0","","",""
"686","","","","","","","","","","0","0","0","","",""
"689","0","0","0","","","","","","","","","","","",""
"692","","","","","","","0","0","0","0","0","0","","",""
"693","0","0","0","","","","","","","","","","","",""
"697","","","","","","","","","","","","","0","0","0"
"701","","","","","","","","","","0","0","0","","",""
"714","","","","0","0","0","","","","","","","","",""
"716","0","0","0","","","","","","","","","","","",""
"721","","","","0","0","0","","","","","","","","",""
"723","","","","","","","","","","2","2","2","","",""
"724","","","","","","","","","","","","","0","0","0"
"725","","","","","","","0","0","0","","","","","",""
"735","","","","","","","","","","","","","0","0","0"
"743","0","0","0","","","","","","","","","","","",""
"749","0","0","0","","","","","","","","","","","",""
"750","","","","","","","","","","8","8","8","","",""
"751","0","0","0","","","","0","0","0","","","","","",""
"752","0","0","0","","","","","","","","","","","",""
