"Step","110-dynamic","110-dynamic - drop-0__MIN","110-dynamic - drop-0__MAX","110-ofb","110-ofbt - drop-0__MIN","110-ofbt - drop-0__MAX","110-static-1","110-static-1 - drop-0__MIN","110-static-1 - drop-0__MAX","110-every-100","110-every-100 - drop-0__MIN","110-every-100 - drop-0__MAX","110-every-10","110-every-10 - drop-0__MIN","110-every-10 - drop-0__MAX"
"641","","","","","","","","","","","","","0","0","0"
"645","","","","","","","0","0","0","","","","","",""
"647","","","","","","","","","","0","0","0","","",""
"649","","","","0","0","0","","","","","","","","",""
"655","","","","0","0","0","","","","","","","","",""
"657","","","","","","","","","","0","0","0","","",""
"659","","","","","","","","","","","","","0","0","0"
"669","","","","","","","","","","","","","0","0","0"
"675","0","0","0","","","","","","","","","","","",""
"685","","","","","","","","","","","","","0","0","0"
"692","","","","","","","","","","","","","0","0","0"
"693","","","","","","","","","","0","0","0","","",""
"695","","","","","","","","","","","","","0","0","0"
"697","","","","","","","","","","","","","0","0","0"
"698","","","","0","0","0","","","","","","","","",""
"704","","","","0","0","0","","","","0","0","0","","",""
"708","","","","","","","0","0","0","","","","","",""
"716","","","","","","","0","0","0","","","","","",""
"717","","","","0","0","0","","","","","","","0","0","0"
"720","","","","0","0","0","","","","","","","","",""
"724","","","","0","0","0","","","","","","","","",""
"729","","","","0","0","0","","","","","","","","",""
"731","","","","0","0","0","0","0","0","","","","","",""
"733","0","0","0","","","","","","","","","","","",""
"735","","","","","","","","","","0","0","0","0","0","0"
"740","0","0","0","","","","","","","","","","","",""
"741","","","","","","","","","","","","","0","0","0"
"743","0","0","0","","","","","","","","","","","",""
"744","","","","","","","","","","0","0","0","","",""
"774","0","0","0","","","","","","","","","","","",""
"782","0","0","0","","","","","","","","","","","",""
"783","","","","0","0","0","","","","","","","","",""
"798","","","","0","0","0","","","","","","","","",""
"799","","","","","","","","","","0","0","0","","",""
"800","","","","","","","0","0","0","","","","","",""
"802","","","","0","0","0","","","","","","","","",""
"810","","","","0","0","0","","","","","","","","",""
"820","","","","","","","","","","","","","0","0","0"
"830","","","","","","","0","0","0","","","","","",""
"831","0","0","0","","","","","","","","","","","",""
"834","0","0","0","","","","","","","","","","0","0","0"
"837","","","","0","0","0","","","","","","","","",""
"839","","","","0","0","0","","","","","","","","",""
"844","","","","0","0","0","","","","","","","","",""
"845","","","","","","","","","","0","0","0","","",""
"847","","","","0","0","0","","","","","","","0","0","0"
"852","","","","","","","","","","0","0","0","","",""
"853","","","","","","","0","0","0","","","","","",""
"854","","","","","","","","","","0","0","0","","",""
"856","0","0","0","","","","0","0","0","","","","","",""
"859","","","","","","","","","","0","0","0","","",""
"860","","","","0","0","0","","","","0","0","0","","",""
"861","0","0","0","","","","","","","","","","","",""
"867","","","","0","0","0","","","","","","","","",""
"869","","","","0","0","0","","","","","","","","",""
"870","","","","","","","0","0","0","","","","","",""
"875","","","","0","0","0","","","","","","","","",""
"877","","","","0","0","0","","","","","","","","",""
"888","","","","","","","0","0","0","","","","","",""
"892","","","","0","0","0","","","","","","","","",""
"896","","","","","","","","","","0","0","0","0","0","0"
"901","0","0","0","0","0","0","","","","","","","","",""
"902","0","0","0","","","","","","","","","","","",""
"903","","","","0","0","0","","","","","","","","",""
"919","0","0","0","","","","","","","0","0","0","","",""
"924","0","0","0","","","","","","","","","","","",""
"927","","","","4","4","4","","","","","","","","",""
"930","","","","","","","","","","0","0","0","","",""
"933","","","","","","","0","0","0","","","","0","0","0"
"934","","","","","","","","","","","","","0","0","0"
"935","","","","5","5","5","","","","","","","","",""
"936","","","","","","","","","","0","0","0","","",""
"937","0","0","0","","","","","","","","","","","",""
"939","","","","","","","","","","","","","0","0","0"
"940","0","0","0","6","6","6","","","","","","","","",""
"948","","","","6","6","6","","","","","","","","",""
"949","","","","8","8","8","","","","","","","","",""
"950","","","","","","","","","","","","","0","0","0"
"953","0","0","0","","","","","","","","","","","",""
"965","","","","0","0","0","0","0","0","","","","","",""
"972","","","","","","","","","","0","0","0","","",""
"976","","","","2","2","2","","","","","","","","",""
"978","","","","3","3","3","","","","","","","","",""
"980","","","","7","7","7","","","","0","0","0","","",""
"981","0","0","0","","","","","","","","","","","",""
"982","0","0","0","","","","","","","","","","","",""
"983","","","","","","","","","","","","","0","0","0"
"986","","","","","","","0","0","0","","","","","",""
"987","0","0","0","","","","","","","","","","","",""
"995","","","","","","","","","","0","0","0","","",""
"998","","","","","","","","","","","","","0","0","0"
