"Step","110-dynamic","110-dynamic - latency-1__MIN","110-dynamic - latency-1__MAX","110-ofb","110-ofbt - latency-1__MIN","110-ofbt - latency-1__MAX","110-static-1","110-static-1 - latency-1__MIN","110-static-1 - latency-1__MAX","110-every-100","110-every-100 - latency-1__MIN","110-every-100 - latency-1__MAX","110-every-10","110-every-10 - latency-1__MIN","110-every-10 - latency-1__MAX"
"622","3.1666666666666665","3.1666666666666665","3.1666666666666665","","","","","","","","","","","",""
"628","","","","","","","","","","42","42","42","","",""
"630","1.8461538461538463","1.8461538461538463","1.8461538461538463","","","","","","","","","","","",""
"634","","","","27","27","27","","","","","","","","",""
"636","","","","26.428571428571427","26.428571428571427","26.428571428571427","","","","","","","","",""
"640","1.4","1.4","1.4","","","","","","","","","","","",""
"648","0.5","0.5","0.5","","","","","","","","","","67.9090909090909","67.9090909090909","67.9090909090909"
"649","","","","","","","","","","","","","0","0","0"
"651","","","","","","","39.2","39.2","39.2","","","","","",""
"653","","","","20.181818181818183","20.181818181818183","20.181818181818183","","","","","","","","",""
"659","","","","","","","","","","46.25","46.25","46.25","","",""
"660","","","","","","","37.92307692307692","37.92307692307692","37.92307692307692","","","","","",""
"665","","","","","","","","","","","","","62.36363636363637","62.36363636363637","62.36363636363637"
"666","1.4285714285714286","1.4285714285714286","1.4285714285714286","","","","","","","","","","","",""
"669","","","","","","","36","36","36","","","","","",""
"671","","","","","","","36.2","36.2","36.2","","","","","",""
"673","","","","","","","36.09090909090909","36.09090909090909","36.09090909090909","","","","","",""
"677","","","","","","","36.22222222222222","36.22222222222222","36.22222222222222","","","","","",""
"681","","","","16.545454545454547","16.545454545454547","16.545454545454547","","","","","","","","",""
"683","","","","","","","37.63636363636363","37.63636363636363","37.63636363636363","","","","","",""
"686","","","","","","","37","37","37","","","","","",""
"692","","","","12.615384615384615","12.615384615384615","12.615384615384615","","","","","","","","",""
"697","","","","","","","","","","","","","64","64","64"
"698","","","","","","","","","","55","55","55","","",""
"704","","","","","","","","","","58","58","58","","",""
"705","","","","","","","","","","58.125","58.125","58.125","","",""
"706","","","","","","","35.5","35.5","35.5","","","","","",""
"711","0.2727272727272727","0.2727272727272727","0.2727272727272727","","","","","","","","","","","",""
"713","","","","","","","","","","61.75","61.75","61.75","","",""
"716","0","0","0","","","","","","","","","","","",""
"717","0","0","0","","","","","","","","","","","",""
"721","","","","","","","33.714285714285715","33.714285714285715","33.714285714285715","","","","","",""
"726","","","","","","","","","","0","0","0","","",""
"727","","","","0","0","0","","","","","","","","",""
"731","0.1","0.1","0.1","","","","","","","","","","63.25","63.25","63.25"
"741","","","","","","","","","","0","0","0","","",""
"750","","","","","","","","","","0","0","0","","",""
"752","","","","","","","","","","","","","58.916666666666664","58.916666666666664","58.916666666666664"
"756","","","","","","","","","","0","0","0","","",""
"763","","","","","","","61.55555555555556","61.55555555555556","61.55555555555556","","","","59.2","59.2","59.2"
"770","","","","0","0","0","","","","","","","","",""
"776","","","","","","","","","","70","70","70","","",""
"781","0","0","0","","","","","","","","","","","",""
"783","","","","0","0","0","","","","","","","0","0","0"
"786","","","","0","0","0","","","","","","","","",""
"791","","","","","","","70","70","70","","","","","",""
"796","","","","","","","","","","70","70","70","","",""
"797","","","","","","","","","","70","70","70","","",""
"801","","","","0","0","0","","","","","","","","",""
"802","","","","","","","70","70","70","","","","","",""
"816","","","","","","","","","","","","","70","70","70"
"819","3.5","3.5","3.5","","","","","","","","","","","",""
"823","","","","0","0","0","","","","","","","","",""
"835","","","","0","0","0","","","","","","","","",""
