step,slice0:throughputs,slice1:throughputs,slice0:drop_rates,slice1:drop_rates,slice0:death_rates,slice1:death_rates,slice0:queue_sizes,slice1:queue_sizes,slice0:urgent_packets,slice1:urgent_packets,slice0:latency_per_packet,slice1:latency_per_packet,learner:throughputs,learner:queue_sizes
0,7987,6523,0,1992,0,1992,0.0,0.0,0.0,5.392,74.901,430.293,347.0,838.132
0,8034,6244,0,2283,0,2283,0.0,0.0,0.0,5.539,59.186,416.77,347.0,843.722
0,7935,6356,0,2114,0,2114,0.0,0.0,0.0,4.796,129.292,401.325,397.0,846.417
0,7989,6896,0,1523,0,1523,0.0,0.0,0.0,4.546,69.636,460.326,396.0,844.046
0,7967,6985,0,1576,0,1576,0.0,0.0,0.0,5.862,56.949,464.456,327.0,885.391
0,8055,6975,0,1504,0,1504,0.0,0.0,0.0,5.857,107.598,472.013,346.0,909.947
0,8131,7099,0,1389,0,1389,0.0,0.0,0.0,4.905,122.767,457.711,389.0,904.787
0,7330,7758,0,845,0,845,0.0,0.0,0.0,3.729,170.014,455.426,455.0,862.553
0,8325,7470,0,866,0,866,0.0,0.0,0.0,3.949,244.453,499.204,359.0,837.979
0,7615,7956,0,671,0,671,0.0,0.0,0.0,4.21,659.831,514.157,414.0,803.101
0,8216,7768,0,588,0,588,0.0,0.0,0.0,5.369,694.664,525.161,298.0,859.218
0,7921,7733,0,746,0,746,0.0,0.0,0.0,3.903,754.044,490.159,398.0,891.894
0,7724,8079,0,570,0,570,0.0,0.0,0.0,4.233,474.908,525.724,358.0,913.674
0,7708,7918,0,530,0,530,0.0,0.0,0.0,3.452,1053.622,511.676,398.0,873.699
0,7989,7765,0,861,0,861,0.0,0.0,0.0,4.747,1166.464,510.499,371.0,870.818
0,7598,8039,0,290,0,290,0.003,0.0,0.0,2.612,1255.192,517.553,395.0,879.507
0,7133,8468,0,247,0,247,0.032,0.0,0.0,2.272,1396.227,473.529,406.0,869.754
0,5272,8730,0,0,0,0,0.123,0.0,0.0,0.0,1382.736,182.034,533.0,773.337
0,3503,8522,0,0,0,0,0.206,0.0,0.0,0.0,1370.086,4.739,452.0,717.312
0,4923,8455,0,0,0,0,0.124,0.0,0.0,0.0,1606.331,32.436,533.0,716.047
