j0 step j2 j3 reward j4 j5 cost1 z1 j6 cost2 z2 j7 epsilon
step= 87 -- reward= 0.0 -- cost1= 0.0 6320 --cost2= 0.0 7617 epsilon= 0.01
step= 88 -- reward= 0.0 -- cost1= 0.0 6319 --cost2= 0.0 7516 epsilon= 0.01
step= 89 -- reward= 0.0 -- cost1= 0.0 6389 --cost2= 0.0 7487 epsilon= 0.01
step= 90 -- reward= 0.0 -- cost1= 0.0 6343 --cost2= 0.0 7545 epsilon= 0.01
step= 91 -- reward= 0.0 -- cost1= 0.0 6385 --cost2= 0.0 7398 epsilon= 0.01
step= 92 -- reward= 0.0 -- cost1= 0.0 6411 --cost2= 0.0 7575 epsilon= 0.01
step= 93 -- reward= 0.0 -- cost1= 0.0 6329 --cost2= 0.0 7539 epsilon= 0.01
step= 94 -- reward= 0.0 -- cost1= 0.0 6304 --cost2= 0.0 7566 epsilon= 0.01
step= 95 -- reward= 0.0 -- cost1= 0.0 6236 --cost2= 0.0 7589 epsilon= 0.01
step= 96 -- reward= 0.0 -- cost1= 0.0 6290 --cost2= 0.0 7594 epsilon= 0.01
step= 97 -- reward= 0.0 -- cost1= 0.0 6336 --cost2= 0.0 7527 epsilon= 0.01
step= 98 -- reward= 0.0 -- cost1= 0.0 6375 --cost2= 0.0 7492 epsilon= 0.01
step= 99 -- reward= 0.0 -- cost1= 0.0 6321 --cost2= 0.0 7470 epsilon= 0.01
