"Step","active-0","sunny-durian-3 - active-0__MIN","sunny-durian-3 - active-0__MAX"
"386696","10","10","10"
"388796","9","9","9"
"393334","7","7","7"
"395116","4","4","4"
"396816","4","4","4"
"402033","9","9","9"
"406026","7","7","7"
"407870","10","10","10"
"408568","11","11","11"
"409433","6","6","6"
"410038","10","10","10"
"410853","13","13","13"
"411923","12","12","12"
"413425","12","12","12"
"414690","8","8","8"
"415054","10","10","10"
"415841","7","7","7"
"416970","13","13","13"
"417225","8","8","8"
"417489","11","11","11"
"417865","3","3","3"
"418013","10","10","10"
"419679","7","7","7"
"421187","11","11","11"
"421869","5","5","5"
"423473","9","9","9"
"425448","10","10","10"
"425500","7","7","7"
"426171","8","8","8"
"426359","9","9","9"
"426702","10","10","10"
"428163","9","9","9"
"428944","6","6","6"
"429453","12","12","12"
"429933","10","10","10"
"430803","9","9","9"
"431567","10","10","10"
"431894","10","10","10"
"434342","9","9","9"
"436904","10","10","10"
"438477","5","5","5"
"439114","13","13","13"
"440877","8","8","8"
"440957","8","8","8"
"442448","6","6","6"
"445509","8","8","8"
"446057","6","6","6"
"446715","8","8","8"
"446925","11","11","11"
"449353","10","10","10"
"452359","8","8","8"
"452590","10","10","10"
"453016","9","9","9"
"453581","8","8","8"
"455417","6","6","6"
"455525","10","10","10"
"455660","10","10","10"
"456001","12","12","12"
"456447","14","14","14"
"457291","9","9","9"
"457405","9","9","9"
"460903","13","13","13"
"461651","9","9","9"
"463336","6","6","6"
"464804","10","10","10"
"466151","9","9","9"
"466981","7","7","7"
"467487","9","9","9"
"468952","10","10","10"
"469026","9","9","9"
"469499","9","9","9"
"471449","9","9","9"
"471779","12","12","12"
"472774","8","8","8"
"474828","7","7","7"
"474903","9","9","9"
"475511","7","7","7"
"477573","11","11","11"
"478082","5","5","5"
"478326","5","5","5"
"479397","11","11","11"
"480186","6","6","6"
"482100","12","12","12"
"486293","6","6","6"
"486360","7","7","7"
"488361","8","8","8"
"488482","10","10","10"
"488679","6","6","6"
"489029","8","8","8"
"492434","9","9","9"
"496037","7","7","7"
"496746","11","11","11"
"497409","11","11","11"
"500209","11","11","11"
"503005","10","10","10"
"506443","11","11","11"
"509747","11","11","11"
"512480","9","9","9"
"512876","11","11","11"
"513350","8","8","8"
"513750","8","8","8"
"513897","8","8","8"
"514553","8","8","8"
"515744","12","12","12"
"515780","10","10","10"
"516389","12","12","12"
"517643","10","10","10"
"517808","11","11","11"
"519066","10","10","10"
"519312","9","9","9"
"520442","10","10","10"
"520454","12","12","12"
"520492","11","11","11"
"521018","10","10","10"
"521598","8","8","8"
"523190","13","13","13"
"523475","6","6","6"
"524584","6","6","6"
"526898","9","9","9"
"527671","14","14","14"
"528753","9","9","9"
"529605","10","10","10"
"529940","9","9","9"
"531246","10","10","10"
"532313","8","8","8"
"532978","10","10","10"
"533268","12","12","12"
"534171","8","8","8"
"536136","13","13","13"
"538149","8","8","8"
"539716","7","7","7"
"539727","10","10","10"
"540841","15","15","15"
"542803","6","6","6"
"542816","10","10","10"
"543534","14","14","14"
"544485","14","14","14"
"545033","8","8","8"
"545313","4","4","4"
"547378","8","8","8"
"548975","14","14","14"
"549279","14","14","14"
"549493","7","7","7"
"550111","6","6","6"
"550302","9","9","9"
"551800","11","11","11"
"552973","6","6","6"
"553582","10","10","10"
"555013","11","11","11"
"555017","12","12","12"
"555372","7","7","7"
"555986","8","8","8"
"556190","6","6","6"
"558157","10","10","10"
"558337","5","5","5"
"559901","10","10","10"
"561121","11","11","11"
"565345","12","12","12"
"565398","7","7","7"
"567668","9","9","9"
"569968","12","12","12"
"570198","13","13","13"
"570220","15","15","15"
"570495","8","8","8"
"572879","12","12","12"
"573735","12","12","12"
"574591","8","8","8"
"576351","14","14","14"
"578426","10","10","10"
"579093","11","11","11"
"579922","14","14","14"
"580038","6","6","6"
"580360","5","5","5"
"580377","13","13","13"
"581270","9","9","9"
"582924","10","10","10"
"584035","13","13","13"
"586051","9","9","9"
"587409","8","8","8"
"592531","10","10","10"
"593020","15","15","15"
"594647","11","11","11"
"595397","9","9","9"
"596030","9","9","9"
"596207","9","9","9"
"597837","9","9","9"
"602217","12","12","12"
"603065","12","12","12"
"604262","12","12","12"
"605002","8","8","8"
"605575","12","12","12"
"605736","11","11","11"
"607094","12","12","12"
"608173","9","9","9"
"611448","10","10","10"
"611925","12","12","12"
"612275","10","10","10"
"614162","11","11","11"
"614247","11","11","11"
"614562","11","11","11"
"614711","11","11","11"
"614973","9","9","9"
"615481","11","11","11"
"615725","12","12","12"
"616241","10","10","10"
"617727","11","11","11"
"618695","10","10","10"
"619069","11","11","11"
"619324","8","8","8"
"623417","12","12","12"
"623642","11","11","11"
"623727","12","12","12"
"624711","12","12","12"
"625199","10","10","10"
"627172","10","10","10"
"629140","11","11","11"
"630729","10","10","10"
"630881","9","9","9"
"632072","11","11","11"
"633819","11","11","11"
"633841","11","11","11"
"635108","13","13","13"
"635396","11","11","11"
"635913","11","11","11"
"639729","10","10","10"
"640726","12","12","12"
"642727","13","13","13"
"643048","10","10","10"
"646491","11","11","11"
"647338","11","11","11"
"647386","7","7","7"
"650561","12","12","12"
"650569","12","12","12"
"650686","11","11","11"
"651473","10","10","10"
"651600","10","10","10"
"651676","11","11","11"
"651709","11","11","11"
"652399","12","12","12"
"652578","9","9","9"
"653806","10","10","10"
"654434","13","13","13"
"656317","11","11","11"
"656941","11","11","11"
"657093","9","9","9"
"657999","13","13","13"
"658784","12","12","12"
"659746","7","7","7"
"660039","11","11","11"
"660205","11","11","11"
"663209","10","10","10"
"663370","10","10","10"
"664514","12","12","12"
"667415","8","8","8"
"667576","11","11","11"
"667598","11","11","11"
"668079","11","11","11"
"668228","9","9","9"
"668517","12","12","12"
"670155","10","10","10"
"672449","12","12","12"
"675603","12","12","12"
"676114","10","10","10"
"678838","10","10","10"
"679219","9","9","9"
"679336","10","10","10"
"679977","12","12","12"
"679998","10","10","10"
"680562","9","9","9"
"680654","11","11","11"
"681251","13","13","13"
"681682","10","10","10"
"682377","10","10","10"
"682862","11","11","11"
"685674","9","9","9"
"686052","10","10","10"
"686172","11","11","11"
"686670","8","8","8"
"690178","11","11","11"
"690915","10","10","10"
"692104","11","11","11"
"692935","11","11","11"
"695082","12","12","12"
"695348","11","11","11"
"696777","8","8","8"
"699630","9","9","9"
"700530","3","3","3"
"700825","2","2","2"
"701818","2","2","2"
"701821","3","3","3"
"703194","3","3","3"
"703573","1","1","1"
"704353","1","1","1"
"705021","2","2","2"
"705283","3","3","3"
"705525","1","1","1"
"705657","2","2","2"
"705849","1","1","1"
"706023","3","3","3"
"706705","2","2","2"
"706946","2","2","2"
"707740","2","2","2"
"708973","2","2","2"
"710146","3","3","3"
"710204","2","2","2"
"711508","2","2","2"
"711558","2","2","2"
"712047","2","2","2"
"712207","2","2","2"
"712216","2","2","2"
"712888","2","2","2"
"714255","2","2","2"
"716715","2","2","2"
"720678","3","3","3"
"720861","3","3","3"
"721866","3","3","3"
"724396","1","1","1"
"724616","2","2","2"
"725729","3","3","3"
"725773","2","2","2"
"726543","2","2","2"
"727373","3","3","3"
"727940","3","3","3"
"728987","3","3","3"
"729217","3","3","3"
"731482","3","3","3"
"731502","3","3","3"
"731544","2","2","2"
"732224","2","2","2"
"732235","3","3","3"
"732978","0","0","0"
"734197","2","2","2"
"735145","2","2","2"
"736076","2","2","2"
"737894","2","2","2"
"738533","2","2","2"
"742023","3","3","3"
"742475","3","3","3"
"744309","2","2","2"
"745099","2","2","2"
"746802","2","2","2"
"748092","3","3","3"
"748613","3","3","3"
"748712","2","2","2"
"749531","3","3","3"
"750600","3","3","3"
"751914","3","3","3"
"754522","1","1","1"
"754534","3","3","3"
"754708","1","1","1"
"755561","3","3","3"
"758041","3","3","3"
"759767","3","3","3"
"759926","3","3","3"
"760198","2","2","2"
"760588","1","1","1"
"765179","3","3","3"
"765675","3","3","3"
"765771","1","1","1"
"766423","3","3","3"
"767080","3","3","3"
"768291","3","3","3"
"769706","2","2","2"
"769994","2","2","2"
"770347","1","1","1"
"770530","2","2","2"
"771514","1","1","1"
"772093","3","3","3"
"772530","3","3","3"
"772878","2","2","2"
"773473","3","3","3"
"774576","2","2","2"
"775308","3","3","3"
"775855","3","3","3"
"776540","2","2","2"
"777390","2","2","2"
"777648","2","2","2"
"777727","1","1","1"
"778611","3","3","3"
"779017","2","2","2"
"780559","3","3","3"
"781811","3","3","3"
"781845","2","2","2"
"782638","3","3","3"
"782933","3","3","3"
"782941","1","1","1"
"785165","0","0","0"
"785709","2","2","2"
"787082","2","2","2"
"787446","2","2","2"
"787674","3","3","3"
"788426","3","3","3"
"790984","1","1","1"
"791062","2","2","2"
"791927","2","2","2"
"792681","1","1","1"
"792731","2","2","2"
"792829","2","2","2"
"795495","3","3","3"
"796585","1","1","1"
"797413","2","2","2"
"797751","3","3","3"
"797886","3","3","3"
"798054","1","1","1"
"798220","1","1","1"
"798364","2","2","2"
"798395","3","3","3"
"799467","1","1","1"
"801770","10","10","10"
"803153","13","13","13"
"803729","10","10","10"
"805667","7","7","7"
"805692","8","8","8"
"806617","15","15","15"
"806897","16","16","16"
"807045","12","12","12"
"807588","9","9","9"
"808928","11","11","11"
"808973","14","14","14"
"810163","15","15","15"
"810461","13","13","13"
"813035","9","9","9"
"813056","11","11","11"
"813651","7","7","7"
"821224","11","11","11"
"821497","10","10","10"
"825198","12","12","12"
"830473","13","13","13"
"831027","7","7","7"
"831176","13","13","13"
"831349","15","15","15"
"832057","14","14","14"
"832335","10","10","10"
"833134","11","11","11"
"833192","16","16","16"
"835040","11","11","11"
"836679","12","12","12"
"838009","11","11","11"
"839005","10","10","10"
"839263","10","10","10"
"840960","12","12","12"
"841861","14","14","14"
"842514","12","12","12"
"845014","12","12","12"
"846881","9","9","9"
"850628","19","19","19"
"851170","12","12","12"
"851450","19","19","19"
"852740","15","15","15"
"854903","8","8","8"
"855141","10","10","10"
"855824","12","12","12"
"856493","17","17","17"
"857373","13","13","13"
"858769","12","12","12"
"859060","12","12","12"
"860446","13","13","13"
"861910","13","13","13"
"864501","12","12","12"
"864529","14","14","14"
