"Step","12-static-1","12-static - drop-0__MIN","12-static - drop-0__MAX","12-dynamic","12-dynamic - drop-0__MIN","12-dynamic - drop-0__MAX","12-ofb","12-ofbt - drop-0__MIN","12-ofbt - drop-0__MAX","12-every-10","12-every-10 - drop-0__MIN","12-every-10 - drop-0__MAX","12-every-100","12-every-100 - drop-0__MIN","12-every-100 - drop-0__MAX"
"760","","","","","","","5","5","5","","","","","",""
"762","","","","","","","","","","7","7","7","","",""
"766","","","","","","","","","","","","","0","0","0"
"771","","","","","","","4","4","4","","","","","",""
"772","","","","","","","6","6","6","","","","","",""
"773","","","","","","","","","","","","","0","0","0"
"775","","","","","","","9","9","9","","","","","",""
"778","","","","","","","","","","0","0","0","","",""
"779","","","","","","","","","","","","","0","0","0"
"780","","","","","","","","","","","","","0","0","0"
"781","","","","","","","","","","","","","0","0","0"
"784","2","2","2","7","7","7","6","6","6","","","","","",""
"785","","","","","","","","","","0","0","0","","",""
"797","5","5","5","9","9","9","5","5","5","","","","","",""
"805","","","","","","","9","9","9","","","","","",""
"815","","","","","","","","","","","","","0","0","0"
"819","","","","","","","","","","4","4","4","","",""
"826","","","","","","","6","6","6","","","","","",""
"832","","","","","","","","","","","","","0","0","0"
"834","","","","","","","","","","","","","0","0","0"
"837","","","","","","","14","14","14","","","","","",""
"842","6","6","6","4","4","4","","","","","","","","",""
"844","4","4","4","5","5","5","","","","","","","","",""
"846","","","","","","","","","","","","","0","0","0"
"850","","","","","","","14","14","14","","","","","",""
"853","","","","","","","10","10","10","","","","","",""
"859","2","2","2","7","7","7","","","","","","","","",""
"862","4","4","4","7","7","7","","","","","","","","",""
"864","","","","","","","","","","0","0","0","","",""
"865","5","5","5","5","5","5","","","","","","","","",""
"874","8","8","8","2","2","2","","","","","","","7","7","7"
"875","","","","","","","","","","0","0","0","","",""
"884","7","7","7","4","4","4","","","","","","","","",""
"887","5","5","5","8","8","8","","","","","","","","",""
"895","","","","","","","","","","0","0","0","","",""
"899","","","","","","","","","","0","0","0","","",""
"903","","","","","","","","","","0","0","0","","",""
"904","","","","","","","","","","0","0","0","","",""
"906","","","","","","","","","","0","0","0","7","7","7"
"910","6","6","6","5","5","5","","","","","","","","",""
"919","5","5","5","1","1","1","","","","","","","","",""
"921","","","","","","","10","10","10","","","","","",""
"926","","","","","","","10","10","10","","","","","",""
"930","","","","","","","","","","0","0","0","","",""
"934","4","4","4","1","1","1","","","","","","","0","0","0"
"937","","","","","","","","","","0","0","0","","",""
"948","","","","","","","13","13","13","","","","","",""
"950","","","","","","","","","","","","","0","0","0"
"955","","","","","","","","","","0","0","0","","",""
"956","2","2","2","5","5","5","","","","","","","","",""
"957","","","","","","","","","","0","0","0","","",""
"958","","","","","","","","","","","","","1","1","1"
"960","3","3","3","5","5","5","","","","0","0","0","","",""
"970","","","","","","","","","","0","0","0","","",""
"980","","","","","","","","","","0","0","0","","",""
"984","","","","","","","13","13","13","","","","","",""
"989","","","","","","","","","","0","0","0","","",""
"992","","","","","","","","","","0","0","0","","",""
"994","14","14","14","0","0","0","","","","","","","","",""
"996","","","","","","","","","","0","0","0","9","9","9"
"1010","","","","","","","","","","","","","8","8","8"
"1014","13","13","13","7","7","7","","","","","","","","",""
"1019","","","","","","","","","","","","","11","11","11"
"1025","11","11","11","8","8","8","","","","","","","","",""
"1029","","","","","","","","","","5","5","5","","",""
"1030","","","","","","","","","","","","","13","13","13"
"1033","10","10","10","1","1","1","","","","","","","","",""
"1035","","","","","","","","","","3","3","3","","",""
"1041","10","10","10","5","5","5","","","","","","","","",""
"1047","","","","","","","","","","","","","10","10","10"
"1049","","","","","","","1","1","1","","","","","",""
"1052","","","","","","","","","","","","","8","8","8"
"1054","","","","","","","","","","0","0","0","","",""
"1058","","","","","","","4","4","4","","","","","",""
"1063","","","","","","","","","","","","","4","4","4"
"1065","","","","","","","0","0","0","","","","","",""
"1068","","","","","","","","","","0","0","0","","",""
"1073","3","3","3","0","0","0","","","","","","","","",""
"1075","","","","","","","","","","0","0","0","","",""
"1076","","","","","","","","","","0","0","0","","",""
"1092","3","3","3","0","0","0","","","","","","","","",""
"1094","6","6","6","0","0","0","","","","","","","","",""
"1105","","","","","","","","","","","","","4","4","4"
"1115","","","","","","","","","","0","0","0","","",""
"1118","","","","","","","","","","0","0","0","","",""
"1121","3","3","3","3","3","3","","","","","","","","",""
"1125","2","2","2","6","6","6","","","","","","","","",""
"1126","","","","","","","","","","0","0","0","","",""
"1133","","","","","","","","","","","","","0","0","0"
"1135","0","0","0","4","4","4","","","","","","","","",""
"1144","","","","","","","","","","","","","0","0","0"
"1149","","","","","","","","","","0","0","0","","",""
"1151","","","","","","","","","","","","","0","0","0"
"1152","","","","","","","","","","0","0","0","","",""
"1153","","","","","","","","","","","","","0","0","0"
"1156","0","0","0","6","6","6","","","","","","","","",""
"1159","0","0","0","3","3","3","","","","","","","","",""
"1160","","","","","","","","","","","","","0","0","0"
"1170","","","","","","","","","","0","0","0","","",""
"1172","0","0","0","7","7","7","","","","","","","","",""
"1175","","","","","","","","","","","","","0","0","0"
"1177","","","","","","","","","","","","","0","0","0"
"1180","","","","","","","","","","0","0","0","","",""
"1184","","","","","","","","","","","","","0","0","0"
"1187","","","","","","","","","","0","0","0","","",""
"1197","","","","","","","3","3","3","","","","","",""
"1201","0","0","0","6","6","6","2","2","2","","","","","",""
"1205","","","","","","","","","","3","3","3","","",""
"1207","","","","","","","","","","3","3","3","","",""
"1213","0","0","0","9","9","9","","","","","","","","",""
"1221","","","","","","","","","","","","","0","0","0"
"1222","","","","","","","","","","7","7","7","","",""
"1223","","","","","","","8","8","8","10","10","10","","",""
"1239","5","5","5","0","0","0","4","4","4","","","","","",""
"1241","","","","","","","2","2","2","","","","","",""
"1246","","","","","","","","","","0","0","0","","",""
"1249","","","","","","","","","","","","","6","6","6"
"1257","2","2","2","0","0","0","","","","","","","","",""
"1266","","","","","","","0","0","0","","","","","",""
"1270","","","","","","","","","","13","13","13","","",""
"1271","","","","","","","","","","","","","7","7","7"
"1276","9","9","9","4","4","4","","","","","","","","",""
"1283","","","","","","","","","","12","12","12","","",""
"1285","","","","","","","","","","9","9","9","","",""
"1293","","","","","","","0","0","0","","","","","",""
"1309","2","2","2","6","6","6","","","","","","","","",""
"1318","5","5","5","7","7","7","","","","","","","","",""
"1320","4","4","4","7","7","7","","","","","","","","",""
"1323","","","","","","","","","","","","","1","1","1"
"1331","2","2","2","5","5","5","","","","","","","","",""
"1332","0","0","0","4","4","4","","","","","","","","",""
"1333","","","","","","","","","","10","10","10","3","3","3"
"1336","4","4","4","1","1","1","","","","","","","","",""
"1339","","","","","","","8","8","8","","","","","",""
"1345","3","3","3","4","4","4","","","","","","","","",""
"1359","","","","","","","","","","8","8","8","","",""
"1366","0","0","0","0","0","0","","","","6","6","6","","",""
"1368","0","0","0","0","0","0","","","","","","","","",""
"1369","","","","","","","","","","11","11","11","","",""
"1382","0","0","0","4","4","4","","","","","","","","",""
"1389","0","0","0","2","2","2","","","","","","","","",""
"1390","","","","","","","","","","","","","0","0","0"
"1396","","","","","","","","","","","","","0","0","0"
"1408","","","","","","","","","","","","","2","2","2"
"1410","4","4","4","6","6","6","","","","","","","","",""
"1419","7","7","7","4","4","4","","","","","","","","",""
"1420","","","","","","","11","11","11","","","","","",""
"1431","9","9","9","6","6","6","12","12","12","","","","","",""
"1434","","","","","","","13","13","13","","","","","",""
"1437","","","","","","","9","9","9","","","","","",""
"1438","","","","","","","","","","","","","3","3","3"
"1441","","","","","","","","","","","","","3","3","3"
"1444","","","","","","","9","9","9","","","","","",""
"1446","","","","","","","10","10","10","","","","","",""
"1450","","","","","","","12","12","12","","","","","",""
"1459","","","","","","","","","","","","","3","3","3"
"1462","2","2","2","5","5","5","","","","","","","","",""
"1468","","","","","","","","","","9","9","9","","",""
"1469","","","","","","","","","","7","7","7","","",""
"1470","0","0","0","3","3","3","","","","","","","","",""
"1480","","","","","","","","","","11","11","11","","",""
"1482","","","","","","","","","","","","","0","0","0"
"1496","","","","","","","","","","11","11","11","","",""
"1498","5","5","5","6","6","6","","","","13","13","13","","",""
"1504","","","","","","","10","10","10","","","","","",""
"1513","","","","","","","","","","12","12","12","","",""
"1524","13","13","13","5","5","5","","","","","","","","",""
"1526","","","","","","","5","5","5","","","","","",""
"1528","12","12","12","6","6","6","","","","","","","","",""
"1536","10","10","10","6","6","6","","","","","","","","",""
"1537","","","","","","","2","2","2","","","","","",""
"1538","","","","","","","","","","","","","3","3","3"
"1539","","","","","","","","","","","","","8","8","8"
"1543","","","","","","","","","","","","","4","4","4"
"1544","14","14","14","5","5","5","","","","","","","","",""
"1548","10","10","10","7","7","7","","","","","","","","",""
"1554","","","","","","","","","","","","","6","6","6"
"1557","","","","","","","","","","0","0","0","","",""
"1559","9","9","9","5","5","5","4","4","4","","","","","",""
"1561","","","","","","","2","2","2","","","","","",""
"1563","","","","","","","8","8","8","","","","","",""
"1564","","","","","","","","","","","","","3","3","3"
"1575","","","","","","","0","0","0","","","","","",""
"1577","9","9","9","0","0","0","","","","","","","","",""
"1578","","","","","","","","","","","","","7","7","7"
"1583","","","","","","","","","","","","","7","7","7"
"1584","","","","","","","","","","0","0","0","","",""
"1589","11","11","11","4","4","4","","","","","","","","",""
"1594","12","12","12","1","1","1","","","","","","","","",""
"1595","","","","","","","","","","0","0","0","","",""
"1597","","","","","","","","","","","","","6","6","6"
"1598","","","","","","","","","","0","0","0","","",""
"1617","9","9","9","5","5","5","","","","","","","","",""
"1619","9","9","9","3","3","3","","","","","","","","",""
"1621","","","","","","","","","","7","7","7","","",""
"1624","","","","","","","","","","3","3","3","","",""
"1632","","","","","","","","","","","","","5","5","5"
"1646","","","","","","","","","","","","","6","6","6"
"1649","","","","","","","","","","5","5","5","","",""
"1654","","","","","","","0","0","0","","","","","",""
"1658","9","9","9","0","0","0","","","","","","","","",""
"1660","","","","","","","","","","10","10","10","","",""
"1667","","","","","","","0","0","0","","","","","",""
"1676","","","","","","","","","","","","","6","6","6"
"1680","11","11","11","0","0","0","0","0","0","","","","","",""
"1684","","","","","","","0","0","0","","","","","",""
"1685","","","","","","","","","","","","","5","5","5"
"1689","10","10","10","0","0","0","","","","9","9","9","","",""
"1695","3","3","3","0","0","0","","","","","","","","",""
"1702","","","","","","","","","","15","15","15","","",""
"1703","8","8","8","0","0","0","","","","","","","","",""
"1708","","","","","","","0","0","0","","","","","",""
"1711","","","","","","","","","","","","","6","6","6"
"1712","","","","","","","0","0","0","","","","","",""
"1715","","","","","","","0","0","0","","","","","",""
"1716","6","6","6","0","0","0","","","","","","","","",""
"1723","14","14","14","0","0","0","","","","","","","","",""
"1731","12","12","12","0","0","0","","","","","","","","",""
"1735","","","","","","","","","","","","","12","12","12"
"1743","","","","","","","","","","9","9","9","","",""
"1748","","","","","","","","","","","","","11","11","11"
"1752","","","","","","","0","0","0","","","","8","8","8"
"1758","","","","","","","","","","","","","12","12","12"
"1759","","","","","","","","","","","","","9","9","9"
"1761","13","13","13","7","7","7","0","0","0","","","","","",""
"1762","13","13","13","1","1","1","","","","","","","","",""
"1764","","","","","","","","","","","","","11","11","11"
"1766","","","","","","","0","0","0","","","","","",""
"1767","","","","","","","","","","","","","12","12","12"
"1770","11","11","11","1","1","1","","","","","","","","",""
"1774","","","","","","","0","0","0","","","","","",""
"1780","","","","","","","0","0","0","","","","","",""
"1781","","","","","","","","","","9","9","9","","",""
"1786","","","","","","","","","","13","13","13","","",""
"1797","10","10","10","4","4","4","","","","","","","","",""
"1798","","","","","","","","","","","","","10","10","10"
"1801","","","","","","","0","0","0","","","","","",""
"1806","","","","","","","","","","","","","8","8","8"
"1809","","","","","","","","","","10","10","10","","",""
"1818","","","","","","","","","","","","","9","9","9"
"1822","","","","","","","","","","","","","4","4","4"
"1825","","","","","","","","","","9","9","9","","",""
"1829","","","","","","","0","0","0","","","","","",""
"1831","12","12","12","10","10","10","","","","","","","","",""
"1832","","","","","","","0","0","0","10","10","10","","",""
"1834","","","","","","","0","0","0","","","","","",""
"1837","","","","","","","","","","","","","8","8","8"
"1838","","","","","","","","","","","","","10","10","10"
"1840","","","","","","","0","0","0","","","","","",""
"1848","","","","","","","","","","6","6","6","","",""
"1861","12","12","12","1","1","1","","","","","","","7","7","7"
"1863","","","","","","","","","","4","4","4","","",""
"1869","","","","","","","","","","0","0","0","","",""
"1870","","","","","","","0","0","0","","","","","",""
"1873","","","","","","","","","","3","3","3","","",""
"1876","14","14","14","4","4","4","","","","","","","","",""
"1880","","","","","","","","","","5","5","5","","",""
"1882","","","","","","","0","0","0","","","","","",""
"1902","","","","","","","","","","0","0","0","","",""
"1904","","","","","","","","","","0","0","0","","",""
"1909","","","","","","","","","","0","0","0","","",""
"1916","6","6","6","7","7","7","","","","","","","","",""
"1932","","","","","","","","","","","","","12","12","12"
"1933","","","","","","","","","","","","","12","12","12"
"1934","9","9","9","10","10","10","","","","","","","","",""
"1940","","","","","","","0","0","0","","","","","",""
"1942","","","","","","","0","0","0","","","","","",""
"1949","","","","","","","","","","","","","13","13","13"
"1951","","","","","","","0","0","0","","","","","",""
"1954","","","","","","","","","","4","4","4","10","10","10"
"1958","","","","","","","","","","","","","13","13","13"
"1959","","","","","","","","","","","","","11","11","11"
"1962","","","","","","","0","0","0","","","","","",""
"1974","","","","","","","","","","","","","12","12","12"
"1977","","","","","","","","","","","","","12","12","12"
"1984","10","10","10","5","5","5","","","","","","","","",""
"1985","","","","","","","","","","","","","11","11","11"
"1989","11","11","11","6","6","6","","","","","","","","",""
"1993","","","","","","","","","","","","","11","11","11"
"1995","","","","","","","0","0","0","","","","9","9","9"
"1999","","","","","","","0","0","0","4","4","4","","",""
"2001","","","","","","","","","","6","6","6","","",""
"2004","","","","","","","","","","","","","8","8","8"
"2009","7","7","7","6","6","6","","","","0","0","0","","",""
"2010","7","7","7","3","3","3","","","","","","","","",""
"2028","","","","","","","","","","","","","11","11","11"
"2029","9","9","9","4","4","4","","","","","","","","",""
"2031","11","11","11","1","1","1","","","","","","","","",""
"2032","","","","","","","","","","0","0","0","","",""
"2033","10","10","10","0","0","0","","","","","","","","",""
"2046","","","","","","","","","","6","6","6","","",""
"2047","","","","","","","","","","","","","9","9","9"
"2049","","","","","","","","","","","","","8","8","8"
"2056","1","1","1","6","6","6","","","","","","","","",""
"2068","","","","","","","0","0","0","","","","12","12","12"
"2073","","","","","","","","","","4","4","4","","",""
"2081","0","0","0","0","0","0","","","","","","","","",""
"2082","","","","","","","","","","4","4","4","","",""
"2086","0","0","0","0","0","0","","","","","","","7","7","7"
"2087","","","","","","","0","0","0","","","","","",""
"2088","","","","","","","","","","","","","9","9","9"
"2099","","","","","","","","","","","","","8","8","8"
"2101","","","","","","","0","0","0","","","","","",""
"2119","","","","","","","","","","","","","7","7","7"
"2125","1","1","1","0","0","0","","","","","","","","",""
"2130","","","","","","","","","","13","13","13","","",""
"2132","5","5","5","0","0","0","","","","","","","","",""
"2134","5","5","5","0","0","0","","","","","","","","",""
"2149","","","","","","","","","","","","","13","13","13"
"2155","","","","","","","","","","","","","10","10","10"
"2156","","","","","","","3","3","3","","","","","",""
"2164","0","0","0","0","0","0","","","","","","","","",""
"2169","0","0","0","0","0","0","","","","","","","","",""
