"Step","12-static-1","12-static - latency-1__MIN","12-static - latency-1__MAX","12-dynamic","12-dynamic - latency-1__MIN","12-dynamic - latency-1__MAX","12-ofb","12-ofbt - latency-1__MIN","12-ofbt - latency-1__MAX","12-every-10","12-every-10 - latency-1__MIN","12-every-10 - latency-1__MAX","12-every-100","12-every-100 - latency-1__MIN","12-every-100 - latency-1__MAX"
"864","","","","0","0","0","0","0","0","","","","","",""
"866","","","","","","","","","","20","20","20","","",""
"873","","","","","","","","","","19","19","19","","",""
"889","","","","","","","","","","0","0","0","","",""
"897","0","0","0","","","","","","","","","","","",""
"904","","","","","","","","","","0","0","0","","",""
"908","","","","","","","","","","0","0","0","","",""
"919","","","","0","0","0","0","0","0","","","","","",""
"921","","","","0","0","0","0","0","0","49","49","49","","",""
"930","","","","","","","","","","52.333333333333336","52.333333333333336","52.333333333333336","","",""
"937","","","","","","","","","","","","","0","0","0"
"959","","","","0","0","0","0","0","0","","","","","",""
"960","","","","","","","","","","","","","1","1","1"
"961","","","","0","0","0","0","0","0","","","","","",""
"964","","","","","","","","","","","","","2","2","2"
"965","","","","","","","","","","0","0","0","","",""
"974","","","","","","","","","","65.75","65.75","65.75","","",""
"977","","","","","","","","","","64.33333333333333","64.33333333333333","64.33333333333333","","",""
"984","","","","11","11","11","0","0","0","","","","","",""
"986","0","0","0","","","","","","","61.5","61.5","61.5","","",""
"994","0","0","0","","","","","","","","","","","",""
"1001","0","0","0","","","","","","","","","","","",""
"1012","","","","","","","","","","70","70","70","0","0","0"
"1015","","","","0","0","0","0","0","0","","","","","",""
"1019","","","","","","","","","","","","","0","0","0"
"1020","","","","","","","","","","","","","0","0","0"
"1021","0","0","0","","","","","","","","","","","",""
"1029","","","","","","","","","","","","","0","0","0"
"1037","0","0","0","","","","","","","","","","","",""
"1041","","","","","","","","","","56.25","56.25","56.25","","",""
"1044","","","","","","","","","","","","","0","0","0"
"1051","","","","","","","","","","","","","0","0","0"
"1053","","","","","","","","","","","","","0","0","0"
"1056","","","","","","","","","","0","0","0","","",""
"1062","0","0","0","","","","","","","","","","","",""
"1063","0","0","0","","","","","","","","","","","",""
"1074","","","","0","0","0","0","0","0","","","","","",""
"1077","","","","0","0","0","1","1","1","","","","","",""
"1078","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","","","","","",""
"1080","0","0","0","","","","","","","","","","","",""
"1087","0","0","0","","","","","","","","","","","",""
"1090","0","0","0","","","","","","","","","","0","0","0"
"1095","","","","0","0","0","0","0","0","","","","","",""
"1096","","","","","","","","","","","","","0","0","0"
"1098","0","0","0","","","","","","","","","","","",""
"1099","","","","","","","","","","","","","0","0","0"
"1100","","","","","","","","","","70","70","70","0.5","0.5","0.5"
"1103","","","","","","","","","","67.5","67.5","67.5","","",""
"1109","","","","","","","","","","","","","0","0","0"
"1125","1","1","1","","","","","","","","","","","",""
"1128","1","1","1","0","0","0","0","0","0","","","","","",""
"1129","0","0","0","","","","","","","","","","","",""
"1133","","","","0","0","0","45","45","45","","","","","",""
"1135","","","","","","","","","","0","0","0","","",""
"1156","","","","","","","","","","69.5","69.5","69.5","","",""
"1161","","","","0","0","0","41.666666666666664","41.666666666666664","41.666666666666664","","","","","",""
"1167","","","","","","","","","","69","69","69","","",""
"1173","0","0","0","","","","","","","","","","","",""
"1175","","","","","","","","","","70","70","70","","",""
"1184","","","","","","","","","","","","","33","33","33"
"1185","","","","","","","","","","65.75","65.75","65.75","","",""
"1195","","","","","","","","","","","","","0","0","0"
"1202","0","0","0","1","1","1","0","0","0","","","","","",""
"1213","50.75","50.75","50.75","","","","","","","","","","","",""
"1222","42.25","42.25","42.25","","","","","","","","","","","",""
"1227","38.4","38.4","38.4","","","","","","","","","","","",""
"1241","","","","","","","","","","","","","7.909090909090909","7.909090909090909","7.909090909090909"
"1242","13.25","13.25","13.25","","","","","","","10.4","10.4","10.4","","",""
"1247","4.375","4.375","4.375","","","","","","","","","","","",""
"1253","","","","0","0","0","1","1","1","","","","","",""
"1255","","","","","","","","","","","","","0","0","0"
"1265","","","","","","","","","","","","","0","0","0"
"1269","0","0","0","0","0","0","0","0","0","","","","","",""
"1276","","","","","","","","","","","","","0","0","0"
"1280","","","","0.5","0.5","0.5","0","0","0","","","","","",""
"1298","","","","","","","","","","","","","0","0","0"
"1303","","","","0","0","0","29.333333333333332","29.333333333333332","29.333333333333332","","","","","",""
"1304","","","","","","","","","","","","","0","0","0"
"1307","","","","0.4","0.4","0.4","30.8","30.8","30.8","","","","","",""
"1310","0","0","0","","","","","","","","","","","",""
"1315","","","","","","","","","","","","","0","0","0"
"1320","0","0","0","","","","","","","","","","","",""
"1329","","","","0","0","0","5.083333333333333","5.083333333333333","5.083333333333333","","","","","",""
"1330","0.5","0.5","0.5","","","","","","","","","","","",""
"1332","","","","","","","","","","0","0","0","","",""
"1336","0","0","0","","","","","","","","","","","",""
"1340","0.25","0.25","0.25","","","","","","","","","","","",""
"1341","","","","0.5","0.5","0.5","0","0","0","","","","","",""
"1343","","","","0","0","0","0","0","0","","","","","",""
"1347","","","","","","","","","","0","0","0","","",""
"1351","2","2","2","","","","","","","","","","","",""
"1356","","","","","","","","","","0","0","0","","",""
"1362","","","","","","","","","","0","0","0","","",""
"1367","","","","0","0","0","0","0","0","0","0","0","","",""
"1369","","","","","","","","","","0","0","0","","",""
"1384","","","","","","","","","","0","0","0","","",""
"1386","","","","","","","","","","0","0","0","","",""
"1388","","","","","","","","","","0","0","0","","",""
"1392","","","","","","","","","","0","0","0","","",""
"1394","16.333333333333332","16.333333333333332","16.333333333333332","","","","","","","","","","","",""
"1399","","","","","","","","","","0","0","0","","",""
"1401","","","","18.5","18.5","18.5","0","0","0","","","","","",""
"1404","","","","","","","","","","0","0","0","","",""
"1408","","","","","","","","","","0","0","0","","",""
"1410","","","","","","","","","","","","","0","0","0"
"1416","","","","","","","","","","0","0","0","","",""
"1417","3.75","3.75","3.75","","","","","","","","","","","",""
"1424","","","","0.7142857142857143","0.7142857142857143","0.7142857142857143","0","0","0","","","","","",""
"1425","","","","","","","","","","0","0","0","","",""
"1426","","","","","","","","","","0","0","0","","",""
"1430","0","0","0","","","","","","","","","","","",""
"1438","0","0","0","","","","","","","0","0","0","","",""
"1446","0","0","0","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","0","0","0"
"1456","","","","","","","","","","0","0","0","","",""
"1458","0","0","0","","","","","","","","","","","",""
"1461","","","","0","0","0","0","0","0","","","","","",""
"1464","0","0","0","","","","","","","","","","","",""
"1465","","","","","","","","","","","","","1","1","1"
"1470","0","0","0","","","","","","","","","","","",""
"1471","","","","","","","","","","0","0","0","0","0","0"
"1472","","","","","","","","","","0","0","0","","",""
"1484","1","1","1","","","","","","","","","","","",""
"1492","0","0","0","","","","","","","","","","","",""
"1494","0","0","0","","","","","","","","","","","",""
"1495","","","","","","","","","","","","","8","8","8"
"1500","","","","","","","","","","","","","11.333333333333334","11.333333333333334","11.333333333333334"
"1503","","","","0.5","0.5","0.5","0","0","0","","","","","",""
"1506","0","0","0","","","","","","","","","","","",""
"1508","","","","","","","","","","","","","0","0","0"
"1509","","","","0","0","0","0","0","0","","","","","",""
"1518","","","","0","0","0","0","0","0","","","","","",""
"1521","0","0","0","","","","","","","","","","","",""
"1524","0","0","0","","","","","","","","","","","",""
"1535","","","","0","0","0","0","0","0","","","","","",""
"1537","","","","","","","","","","0","0","0","","",""
"1549","","","","","","","","","","0","0","0","","",""
"1551","0","0","0","","","","","","","","","","","",""
"1553","","","","","","","","","","0","0","0","","",""
"1557","","","","","","","","","","","","","0","0","0"
"1558","","","","0","0","0","0","0","0","","","","","",""
"1560","0","0","0","","","","","","","","","","","",""
"1563","","","","","","","","","","0","0","0","","",""
"1567","","","","0","0","0","0","0","0","","","","","",""
"1571","","","","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0","","","","","",""
"1578","","","","","","","","","","15.5","15.5","15.5","","",""
"1579","","","","","","","","","","","","","0","0","0"
"1581","0","0","0","","","","","","","","","","","",""
"1583","","","","","","","","","","0","0","0","","",""
"1585","","","","","","","","","","","","","0","0","0"
"1587","","","","7.6","7.6","7.6","0","0","0","0","0","0","","",""
"1593","0","0","0","","","","","","","","","","","",""
"1597","","","","","","","","","","0","0","0","","",""
"1603","","","","","","","","","","","","","0","0","0"
"1608","","","","","","","","","","","","","0","0","0"
"1609","0","0","0","","","","","","","","","","","",""
"1612","","","","0","0","0","0","0","0","","","","","",""
"1616","","","","","","","","","","","","","0","0","0"
"1617","0","0","0","","","","","","","","","","","",""
"1618","","","","","","","","","","","","","0","0","0"
"1622","","","","0","0","0","0","0","0","","","","","",""
"1626","","","","","","","","","","","","","0","0","0"
"1632","0","0","0","","","","","","","","","","","",""
"1633","0","0","0","","","","","","","","","","","",""
"1638","","","","","","","","","","","","","0","0","0"
"1642","0","0","0","","","","","","","","","","","",""
"1644","0","0","0","","","","","","","","","","","",""
"1649","","","","","","","","","","0","0","0","","",""
"1657","","","","0","0","0","29.833333333333332","29.833333333333332","29.833333333333332","","","","","",""
"1666","0","0","0","","","","","","","","","","","",""
"1674","0","0","0","0","0","0","26","26","26","","","","","",""
"1679","","","","0","0","0","25.4","25.4","25.4","","","","","",""
"1685","","","","36.5","36.5","36.5","27","27","27","","","","","",""
"1688","","","","","","","","","","0","0","0","","",""
"1691","0","0","0","","","","","","","","","","","",""
"1698","","","","","","","","","","0","0","0","","",""
"1701","","","","","","","","","","","","","0","0","0"
"1702","","","","48","48","48","0","0","0","","","","","",""
"1709","","","","0","0","0","0","0","0","","","","","",""
"1719","","","","","","","","","","","","","0","0","0"
"1724","","","","","","","","","","","","","0","0","0"
"1725","","","","29.833333333333332","29.833333333333332","29.833333333333332","43","43","43","","","","","",""
"1749","0","0","0","","","","","","","","","","","",""
"1751","","","","","","","","","","0","0","0","0","0","0"
"1755","","","","","","","","","","","","","0","0","0"
"1759","","","","","","","","","","","","","0","0","0"
"1763","0","0","0","","","","","","","","","","","",""
"1766","","","","9.333333333333334","9.333333333333334","9.333333333333334","0","0","0","","","","","",""
"1771","","","","","","","","","","","","","0","0","0"
"1773","","","","","","","","","","0","0","0","","",""
"1775","","","","","","","","","","0","0","0","","",""
"1776","","","","","","","","","","0","0","0","0","0","0"
"1780","0","0","0","0","0","0","70","70","70","","","","","",""
"1787","","","","","","","","","","","","","0","0","0"
"1790","0","0","0","","","","","","","","","","","",""
"1792","","","","0","0","0","70","70","70","","","","","",""
"1797","","","","0.6","0.6","0.6","68.25","68.25","68.25","","","","","",""
"1798","","","","","","","","","","","","","0","0","0"
"1800","0","0","0","","","","","","","","","","","",""
"1803","0","0","0","","","","","","","","","","","",""
"1806","","","","","","","","","","0","0","0","","",""
"1809","0","0","0","0","0","0","64","64","64","","","","","",""
"1814","","","","","","","","","","0","0","0","","",""
"1815","0","0","0","","","","","","","","","","","",""
"1816","","","","0","0","0","58.25","58.25","58.25","","","","","",""
"1817","","","","0","0","0","58.333333333333336","58.333333333333336","58.333333333333336","0","0","0","","",""
"1826","","","","0","0","0","54","54","54","","","","","",""
"1828","","","","0","0","0","52.2","52.2","52.2","","","","","",""
"1829","","","","","","","","","","","","","0","0","0"
"1830","0","0","0","","","","","","","","","","","",""
"1837","","","","","","","","","","0","0","0","","",""
"1843","0","0","0","","","","","","","","","","","",""
"1844","","","","","","","","","","0","0","0","","",""
"1846","0","0","0","0","0","0","0","0","0","","","","","",""
"1857","0","0","0","","","","","","","","","","","",""
"1876","","","","","","","","","","","","","0","0","0"
"1882","0","0","0","","","","","","","","","","","",""
"1888","0","0","0","","","","","","","1","1","1","","",""
"1889","","","","","","","","","","0","0","0","","",""
"1890","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333","69.66666666666667","69.66666666666667","69.66666666666667","","","","","",""
"1902","","","","","","","","","","0","0","0","0","0","0"
"1910","","","","0","0","0","0","0","0","","","","","",""
"1911","","","","0","0","0","70","70","70","","","","0","0","0"
"1913","","","","","","","","","","","","","0","0","0"
"1916","","","","","","","","","","10","10","10","","",""
"1917","","","","","","","","","","","","","0","0","0"
"1925","","","","0","0","0","70","70","70","","","","","",""
"1928","","","","0","0","0","69.2","69.2","69.2","","","","","",""
"1930","","","","","","","","","","","","","0","0","0"
"1933","","","","0","0","0","64","64","64","","","","","",""
"1934","","","","0","0","0","63.5","63.5","63.5","","","","0","0","0"
"1940","","","","","","","","","","1","1","1","","",""
"1942","","","","","","","","","","0","0","0","","",""
"1945","","","","","","","","","","0","0","0","","",""
"1947","","","","0","0","0","0","0","0","","","","","",""
"1953","0","0","0","","","","","","","","","","","",""
"1963","","","","0.4","0.4","0.4","67.33333333333333","67.33333333333333","67.33333333333333","","","","","",""
"1966","","","","","","","","","","","","","0","0","0"
"1967","","","","","","","","","","0","0","0","","",""
"1972","0","0","0","","","","","","","","","","","",""
"1982","","","","","","","","","","0","0","0","","",""
"1984","","","","","","","","","","","","","0","0","0"
"1986","","","","","","","","","","","","","0","0","0"
"1991","","","","0","0","0","70","70","70","","","","","",""
"1996","","","","0","0","0","69.66666666666667","69.66666666666667","69.66666666666667","","","","","",""
"2000","","","","0","0","0","69.33333333333333","69.33333333333333","69.33333333333333","","","","","",""
"2001","","","","0","0","0","69","69","69","","","","","",""
"2011","","","","","","","","","","0","0","0","","",""
"2014","","","","0","0","0","70","70","70","","","","","",""
"2017","","","","0","0","0","66.5","66.5","66.5","","","","","",""
"2040","","","","","","","","","","15","15","15","","",""
"2053","","","","","","","","","","0","0","0","","",""
"2058","0","0","0","","","","","","","","","","","",""
"2060","3.5","3.5","3.5","","","","","","","","","","","",""
"2072","","","","","","","","","","0","0","0","","",""
"2073","","","","0.5","0.5","0.5","3.4","3.4","3.4","0","0","0","","",""
"2081","0","0","0","","","","","","","","","","","",""
"2101","","","","","","","","","","0","0","0","","",""
"2104","","","","","","","","","","","","","0","0","0"
"2113","","","","0","0","0","0","0","0","","","","","",""
"2114","","","","","","","","","","","","","0","0","0"
"2122","3.25","3.25","3.25","","","","","","","","","","","",""
"2126","","","","","","","","","","","","","0","0","0"
"2133","","","","","","","","","","","","","0","0","0"
"2134","","","","","","","","","","","","","0","0","0"
"2142","","","","0","0","0","0","0","0","","","","","",""
"2144","1","1","1","","","","","","","","","","","",""
"2149","","","","0","0","0","0","0","0","","","","","",""
"2161","","","","","","","","","","0","0","0","","",""
"2171","","","","","","","","","","0","0","0","","",""
"2174","","","","69.33333333333333","69.33333333333333","69.33333333333333","0","0","0","","","","","",""
"2177","","","","67.2","67.2","67.2","0.5","0.5","0.5","","","","","",""
"2178","","","","","","","","","","","","","0","0","0"
"2180","","","","67.75","67.75","67.75","0","0","0","","","","","",""
"2191","","","","63.75","63.75","63.75","13","13","13","","","","","",""
"2192","34","34","34","","","","","","","","","","","",""
"2197","","","","57.6","57.6","57.6","16","16","16","","","","","",""
"2198","30.75","30.75","30.75","","","","","","","","","","","",""
"2205","","","","","","","","","","0","0","0","0","0","0"
"2207","","","","37.5","37.5","37.5","19.333333333333332","19.333333333333332","19.333333333333332","0","0","0","","",""
"2212","","","","","","","","","","0","0","0","","",""
"2219","","","","","","","","","","0","0","0","","",""
"2220","","","","","","","","","","","","","0","0","0"
"2224","21","21","21","","","","","","","","","","","",""
"2229","","","","","","","","","","","","","0","0","0"
"2235","","","","0","0","0","0","0","0","","","","","",""
"2239","","","","0","0","0","42.5","42.5","42.5","","","","","",""
"2240","","","","0","0","0","0","0","0","","","","","",""
"2244","","","","0.5","0.5","0.5","0","0","0","","","","","",""
"2249","28.666666666666668","28.666666666666668","28.666666666666668","","","","","","","","","","","",""
"2253","","","","0","0","0","54.333333333333336","54.333333333333336","54.333333333333336","","","","","",""
"2255","","","","","","","","","","","","","0","0","0"
"2257","","","","0","0","0","0","0","0","","","","","",""
"2258","","","","","","","","","","1","1","1","","",""
"2259","0","0","0","","","","","","","","","","","",""
"2260","","","","","","","","","","","","","0","0","0"
"2265","","","","0","0","0","0","0","0","","","","","",""
"2266","","","","","","","","","","0","0","0","","",""
"2268","37","37","37","","","","","","","","","","","",""
"2272","","","","","","","","","","0","0","0","","",""
"2274","","","","","","","","","","0","0","0","","",""
"2278","36","36","36","0","0","0","69.5","69.5","69.5","","","","","",""
"2279","36","36","36","","","","","","","","","","","",""
"2283","","","","0","0","0","0","0","0","","","","","",""
"2290","","","","","","","","","","","","","0","0","0"
"2294","","","","","","","","","","12.75","12.75","12.75","","",""
"2295","0","0","0","","","","","","","","","","","",""
"2309","","","","","","","","","","0","0","0","","",""
"2310","","","","","","","","","","0","0","0","","",""
"2317","","","","0","0","0","0","0","0","","","","","",""
"2326","","","","","","","","","","0","0","0","","",""
