"Step","ofb-final-steps2M-Seed1 - slice0:incoming-traffic","ofb-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice0:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice0:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice0:incoming-traffic","static-final-steps2M-Seed1 - slice0:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice0:incoming-traffic__MAX"
"6000","","","","5","5","5","","",""
"6040","","","","10","10","10","","",""
"6080","","","","9","9","9","","",""
"6150","10","10","10","","","","","",""
"6320","","","","8","8","8","","",""
"6350","8","8","8","","","","","",""
"6390","5","5","5","","","","","",""
"6410","7","7","7","","","","","",""
"6420","","","","","","","4","4","4"
"6460","","","","","","","8","8","8"
"6490","6","6","6","","","","5","5","5"
"6550","","","","","","","5","5","5"
"6560","","","","","","","6","6","6"
"6770","","","","7","7","7","","",""
"6800","","","","8","8","8","","",""
"6830","","","","8","8","8","","",""
"6860","","","","6","6","6","","",""
"6900","","","","7","7","7","","",""
"6940","","","","","","","4","4","4"
"7040","5","5","5","","","","","",""
"7070","6","6","6","","","","","",""
"7080","6","6","6","","","","","",""
"7130","","","","5","5","5","","",""
"7180","","","","","","","8","8","8"
"7280","","","","7","7","7","10","10","10"
"7380","6","6","6","","","","","",""
"7390","13","13","13","","","","","",""
"7430","","","","7","7","7","","",""
"7600","","","","4","4","4","","",""
"7610","","","","","","","9","9","9"
"7630","","","","10","10","10","","",""
"7660","4","4","4","","","","","",""
"7720","5","5","5","","","","","",""
"7740","","","","6","6","6","","",""
"7760","","","","","","","8","8","8"
"7800","7","7","7","","","","","",""
"7870","","","","7","7","7","7","7","7"
"7940","","","","5","5","5","","",""
"7990","5","5","5","","","","","",""
"8000","8","8","8","","","","10","10","10"
"8180","8","8","8","","","","","",""
"8290","","","","","","","4","4","4"
"8300","10","10","10","","","","","",""
"8730","5","5","5","","","","","",""
"8880","","","","8","8","8","","",""
"8890","","","","7","7","7","","",""
"8900","7","7","7","","","","","",""
"9060","5","5","5","","","","","",""
"9070","","","","10","10","10","","",""
"9130","","","","9","9","9","","",""
"9170","5","5","5","","","","","",""
"9190","8","8","8","","","","","",""
"9240","","","","10","10","10","","",""
"9390","","","","5","5","5","","",""
"9420","","","","8","8","8","","",""
"9470","8","8","8","","","","","",""
"9520","5","5","5","","","","","",""
"9530","","","","","","","6","6","6"
"9570","","","","","","","7","7","7"
"9580","4","4","4","","","","","",""
"9620","3","3","3","","","","5","5","5"
"9630","10","10","10","","","","","",""
"9690","","","","","","","7","7","7"
"9700","","","","9","9","9","5","5","5"
"9820","8","8","8","","","","","",""
"10000","","","","","","","6","6","6"
"10050","8","8","8","","","","","",""
"10120","6","6","6","","","","","",""
"10130","","","","4","4","4","","",""
"10150","","","","10","10","10","","",""
"10290","","","","","","","7","7","7"
"10330","","","","7","7","7","","",""
"10400","","","","","","","6","6","6"
"10480","","","","8","8","8","","",""
"10600","5","5","5","","","","","",""
"10620","","","","4","4","4","","",""
"10690","","","","","","","7","7","7"
"10740","","","","","","","9","9","9"
"10800","","","","6","6","6","","",""
"10820","","","","8","8","8","","",""
"10830","8","8","8","","","","","",""
"10840","","","","4","4","4","","",""
"10910","2","2","2","","","","","",""
"10920","","","","7","7","7","","",""
"10930","","","","","","","10","10","10"
"11000","","","","6","6","6","","",""
"11020","","","","10","10","10","","",""
"11080","6","6","6","","","","","",""
"11100","10","10","10","","","","","",""
"11180","","","","","","","3","3","3"
"11190","7","7","7","","","","6","6","6"
"11210","4","4","4","","","","","",""
"11230","6","6","6","","","","","",""
"11270","","","","8","8","8","","",""
"11370","","","","4","4","4","8","8","8"
"11390","","","","4","4","4","","",""
"11470","5","5","5","","","","","",""
"11480","","","","","","","12","12","12"
"11500","","","","","","","4","4","4"
"11530","6","6","6","","","","","",""
"11550","","","","","","","8","8","8"
"11580","6","6","6","6","6","6","","",""
"11610","","","","8","8","8","","",""
"11640","","","","","","","5","5","5"
"11650","8","8","8","","","","","",""
"11680","","","","","","","6","6","6"
"11690","7","7","7","","","","","",""
"11720","","","","","","","3","3","3"
"11740","10","10","10","","","","","",""
"11910","","","","9","9","9","","",""
"11970","","","","10","10","10","","",""
"12030","10","10","10","","","","10","10","10"
"12170","11","11","11","","","","","",""
"12250","","","","5","5","5","","",""
"12280","","","","","","","6","6","6"
"12450","3","3","3","","","","","",""
"12500","","","","","","","6","6","6"
"12510","12","12","12","5","5","5","","",""
"12560","6","6","6","","","","","",""
"12600","4","4","4","","","","","",""
"12630","","","","","","","8","8","8"
"12640","12","12","12","11","11","11","","",""
"12650","5","5","5","8","8","8","","",""
"12660","","","","","","","6","6","6"
"12750","6","6","6","","","","","",""
"12800","3","3","3","","","","6","6","6"
"12860","","","","9","9","9","","",""
"12930","","","","5","5","5","","",""
"12940","","","","11","11","11","","",""
"13070","","","","","","","7","7","7"
"13080","","","","7","7","7","","",""
"13100","","","","","","","6","6","6"
"13250","","","","6","6","6","","",""
"13270","","","","6","6","6","","",""
"13290","3","3","3","","","","","",""
"13410","","","","","","","9","9","9"
"13470","","","","6","6","6","","",""
"13520","7","7","7","","","","","",""
"13530","5","5","5","4","4","4","","",""
"13590","","","","8","8","8","","",""
"13640","6","6","6","","","","","",""
"13670","","","","5","5","5","","",""
"13690","","","","","","","8","8","8"
"13710","","","","4","4","4","","",""
"13720","","","","6","6","6","6","6","6"
"13790","5","5","5","","","","","",""
"13800","","","","8","8","8","","",""
"13980","","","","4","4","4","","",""
"14050","4","4","4","","","","","",""
"14100","3","3","3","","","","","",""
"14120","3","3","3","","","","","",""
"14170","10","10","10","","","","","",""
"14250","","","","","","","8","8","8"
"14270","","","","6","6","6","","",""
"14370","","","","","","","3","3","3"
"14380","4","4","4","","","","","",""
"14420","","","","","","","6","6","6"
"14440","","","","8","8","8","","",""
"14450","9","9","9","","","","","",""
"14510","","","","","","","7","7","7"
"14630","","","","","","","6","6","6"
"14640","","","","","","","4","4","4"
"14660","","","","6","6","6","","",""
"14710","","","","9","9","9","","",""
"14800","8","8","8","","","","","",""
"14830","","","","","","","8","8","8"
"15090","7","7","7","","","","","",""
"15100","","","","7","7","7","","",""
"15130","","","","","","","7","7","7"
"15170","","","","","","","10","10","10"
"15190","9","9","9","","","","","",""
"15210","","","","5","5","5","","",""
"15220","4","4","4","","","","","",""
"15280","8","8","8","6","6","6","6","6","6"
"15300","7","7","7","5","5","5","5","5","5"
"15320","6","6","6","5","5","5","","",""
"15390","","","","","","","8","8","8"
"15480","","","","","","","4","4","4"
"15540","6","6","6","","","","","",""
"15650","","","","7","7","7","","",""
"15680","5","5","5","","","","","",""
"15690","","","","7","7","7","","",""
"15720","","","","","","","4","4","4"
"15760","10","10","10","","","","","",""
"15830","","","","","","","10","10","10"
"15920","","","","8","8","8","","",""
"16030","","","","8","8","8","4","4","4"
"16050","3","3","3","","","","","",""
"16130","","","","9","9","9","","",""
"16160","","","","7","7","7","","",""
"16170","","","","","","","3","3","3"
"16200","","","","","","","5","5","5"
"16260","13","13","13","","","","","",""
"16270","","","","7","7","7","","",""
"16280","","","","","","","4","4","4"
"16390","5","5","5","","","","","",""
"16550","","","","","","","5","5","5"
"16600","9","9","9","","","","","",""
"16700","1","1","1","","","","","",""
"16710","","","","","","","7","7","7"
"16780","","","","","","","7","7","7"
"16800","9","9","9","","","","","",""
"16890","","","","5","5","5","","",""
"16980","","","","6","6","6","","",""
"17040","","","","6","6","6","","",""
"17130","7","7","7","","","","","",""
"17340","9","9","9","","","","","",""
"17350","","","","10","10","10","","",""
"17390","5","5","5","","","","","",""
"17400","","","","","","","6","6","6"
"17480","","","","3","3","3","","",""
"17490","","","","4","4","4","","",""
"17510","","","","","","","9","9","9"
"17520","","","","4","4","4","","",""
"17540","","","","7","7","7","7","7","7"
"17550","5","5","5","","","","","",""
"17720","7","7","7","","","","","",""
"17730","","","","7","7","7","","",""
"17760","","","","","","","9","9","9"
"17780","4","4","4","","","","","",""
"17920","","","","","","","11","11","11"
"17980","","","","","","","6","6","6"
"18000","","","","","","","6","6","6"
"18070","10","10","10","","","","","",""
"18090","","","","6","6","6","","",""
"18130","","","","","","","6","6","6"
"18220","6","6","6","","","","","",""
"18330","","","","10","10","10","","",""
"18380","8","8","8","","","","","",""
"18390","8","8","8","","","","","",""
"18490","","","","","","","10","10","10"
"18540","10","10","10","","","","","",""
"18650","","","","","","","8","8","8"
"18730","","","","5","5","5","","",""
"18770","","","","10","10","10","","",""
"18860","9","9","9","","","","","",""
"18890","","","","8","8","8","","",""
"18940","","","","","","","6","6","6"
"18990","7","7","7","","","","","",""
"19040","7","7","7","","","","","",""
"19050","6","6","6","","","","","",""
"19100","","","","7","7","7","","",""
"19110","","","","7","7","7","","",""
"19120","","","","","","","6","6","6"
"19130","","","","6","6","6","","",""
"19180","","","","7","7","7","","",""
"19200","6","6","6","","","","","",""
"19220","","","","7","7","7","","",""
"19230","5","5","5","","","","","",""
"19430","","","","5","5","5","","",""
"19500","","","","6","6","6","","",""
"19510","","","","","","","5","5","5"
"19610","","","","5","5","5","","",""
"19640","","","","","","","5","5","5"
"19740","","","","","","","8","8","8"
"19830","4","4","4","","","","","",""
"19940","5","5","5","","","","","",""
"20030","","","","6","6","6","","",""
"20060","5","5","5","","","","","",""
"20190","","","","11","11","11","","",""
"20200","","","","6","6","6","","",""
"20300","5","5","5","","","","","",""
"20390","","","","8","8","8","7","7","7"
"20410","","","","6","6","6","9","9","9"
"20510","","","","","","","3","3","3"
"20660","9","9","9","","","","","",""
"20670","","","","","","","6","6","6"
"20730","","","","6","6","6","","",""
"20870","","","","6","6","6","","",""
"20970","8","8","8","","","","","",""
"20990","5","5","5","","","","","",""
"21000","","","","","","","7","7","7"
"21020","","","","8","8","8","","",""
"21080","","","","6","6","6","","",""
"21160","9","9","9","6","6","6","","",""
"21180","7","7","7","","","","","",""
"21240","5","5","5","","","","","",""
"21260","","","","","","","4","4","4"
"21430","","","","5","5","5","","",""
"21480","6","6","6","","","","","",""
"21500","","","","6","6","6","","",""
"21510","","","","8","8","8","","",""
"21520","7","7","7","","","","","",""
"21530","","","","7","7","7","","",""
"21590","","","","6","6","6","","",""
"21600","","","","","","","8","8","8"
"21730","3","3","3","","","","","",""
"21780","3","3","3","","","","","",""
"21810","","","","","","","7","7","7"
"21830","","","","","","","9","9","9"
"21860","","","","","","","4","4","4"
"21870","","","","5","5","5","","",""
"21890","12","12","12","","","","","",""
"22040","","","","9","9","9","","",""
"22190","","","","14","14","14","","",""
"22200","","","","","","","4","4","4"
"22250","9","9","9","","","","","",""
"22360","","","","","","","7","7","7"
"22450","10","10","10","","","","","",""
"22500","","","","9","9","9","","",""
"22600","8","8","8","6","6","6","9","9","9"
"22670","","","","","","","7","7","7"
"22690","12","12","12","","","","","",""
"22730","","","","4","4","4","","",""
"22840","11","11","11","","","","","",""
"22890","10","10","10","","","","","",""
"22920","","","","7","7","7","","",""
"22970","2","2","2","9","9","9","","",""
"22990","7","7","7","","","","","",""
"23000","","","","4","4","4","","",""
"23030","","","","","","","8","8","8"
"23160","","","","3","3","3","","",""
"23240","8","8","8","","","","","",""
"23260","","","","8","8","8","","",""
"23370","","","","","","","5","5","5"
"23430","","","","","","","8","8","8"
"23480","","","","6","6","6","","",""
"23500","","","","9","9","9","","",""
"23530","","","","","","","10","10","10"
"23560","14","14","14","","","","","",""
"23580","","","","","","","7","7","7"
"23610","","","","","","","8","8","8"
"23640","7","7","7","","","","","",""
"23650","","","","","","","4","4","4"
"23660","8","8","8","","","","","",""
"23780","3","3","3","","","","","",""
"23800","","","","7","7","7","","",""
"23860","9","9","9","","","","","",""
"23890","","","","","","","6","6","6"
"24130","","","","","","","4","4","4"
"24150","6","6","6","","","","","",""
"24180","1","1","1","","","","","",""
"24280","","","","","","","5","5","5"
"24390","","","","9","9","9","","",""
"24420","","","","6","6","6","","",""
"24550","8","8","8","","","","","",""
"24690","","","","","","","6","6","6"
"24730","","","","10","10","10","","",""
"24790","","","","8","8","8","6","6","6"
"24830","","","","","","","7","7","7"
"24930","6","6","6","","","","","",""
"24970","9","9","9","","","","","",""
"25000","","","","11","11","11","","",""
"25160","","","","","","","4","4","4"
"25190","7","7","7","","","","","",""
"25200","10","10","10","","","","","",""
"25230","7","7","7","","","","","",""
"25290","","","","","","","7","7","7"
"25370","","","","","","","10","10","10"
"25420","","","","4","4","4","9","9","9"
"25560","","","","","","","6","6","6"
"25590","","","","","","","12","12","12"
"25780","","","","","","","4","4","4"
"25830","4","4","4","8","8","8","","",""
"25900","","","","","","","7","7","7"
"26070","","","","7","7","7","","",""
"26090","7","7","7","","","","","",""
"26140","","","","6","6","6","","",""
"26150","","","","","","","4","4","4"
"26170","","","","7","7","7","","",""
"26180","","","","7","7","7","","",""
"26190","4","4","4","","","","","",""
"26200","","","","5","5","5","","",""
"26300","","","","","","","8","8","8"
"26370","","","","4","4","4","5","5","5"
"26380","","","","","","","8","8","8"
"26430","7","7","7","","","","","",""
"26440","","","","","","","6","6","6"
"26470","","","","8","8","8","9","9","9"
"26480","","","","8","8","8","","",""
"26500","","","","","","","8","8","8"
"26530","","","","","","","8","8","8"
"26610","","","","6","6","6","","",""
"26620","","","","8","8","8","","",""
"26680","11","11","11","","","","","",""
"26720","5","5","5","","","","","",""
"26730","","","","","","","7","7","7"
"26750","10","10","10","","","","","",""
"26790","","","","5","5","5","","",""
"26970","","","","7","7","7","","",""
"27100","4","4","4","7","7","7","","",""
"27110","","","","","","","5","5","5"
"27150","5","5","5","","","","","",""
"27170","5","5","5","","","","","",""
"27210","","","","9","9","9","","",""
"27220","","","","8","8","8","","",""
"27280","","","","","","","4","4","4"
"27290","","","","3","3","3","","",""
"27310","7","7","7","5","5","5","","",""
"27390","6","6","6","","","","","",""
"27430","","","","","","","12","12","12"
"27510","7","7","7","","","","","",""
"27560","6","6","6","","","","","",""
"27580","","","","4","4","4","","",""
"27640","5","5","5","","","","","",""
"27700","","","","8","8","8","","",""
"27740","","","","","","","4","4","4"
"27780","","","","","","","8","8","8"
"27840","","","","","","","8","8","8"
"27860","","","","","","","6","6","6"
"27900","","","","","","","7","7","7"
"27910","6","6","6","7","7","7","","",""
"27920","7","7","7","","","","","",""
"28000","","","","","","","5","5","5"
"28070","","","","","","","8","8","8"
"28100","8","8","8","","","","","",""
"28220","","","","5","5","5","","",""
"28320","8","8","8","","","","","",""
"28330","7","7","7","","","","","",""
"28360","","","","7","7","7","","",""
"28410","","","","","","","3","3","3"
"28430","","","","","","","7","7","7"
"28460","6","6","6","","","","4","4","4"
"28650","","","","7","7","7","","",""
"28670","10","10","10","","","","","",""
"28680","","","","6","6","6","","",""
"28690","","","","","","","7","7","7"
"28760","","","","","","","12","12","12"
"28850","","","","10","10","10","","",""
"28880","","","","","","","9","9","9"
"28890","","","","5","5","5","","",""
"28950","","","","","","","7","7","7"
"28960","8","8","8","","","","","",""
"28980","","","","","","","5","5","5"
"28990","","","","","","","7","7","7"
"29010","","","","","","","7","7","7"
"29080","6","6","6","","","","","",""
"29120","","","","4","4","4","","",""
"29160","","","","11","11","11","","",""
"29180","","","","","","","5","5","5"
"29220","9","9","9","","","","","",""
"29240","","","","6","6","6","","",""
"29290","","","","7","7","7","","",""
"29390","","","","","","","8","8","8"
"29460","","","","","","","9","9","9"
"29470","","","","4","4","4","","",""
"29590","","","","","","","7","7","7"
"29650","","","","","","","8","8","8"
"29670","6","6","6","","","","","",""
"29690","","","","6","6","6","","",""
"29740","6","6","6","","","","","",""
"29750","8","8","8","","","","","",""
"29760","5","5","5","","","","","",""
"29790","","","","","","","6","6","6"
"29850","","","","8","8","8","","",""
"29890","","","","7","7","7","","",""
"29910","5","5","5","","","","","",""
"29990","","","","","","","6","6","6"
"30150","","","","7","7","7","","",""
"30160","","","","","","","5","5","5"
"30260","","","","","","","5","5","5"
"30270","","","","","","","6","6","6"
"30300","","","","3","3","3","","",""
"30320","7","7","7","","","","","",""
"30430","","","","2","2","2","","",""
"30480","","","","6","6","6","","",""
"30530","9","9","9","","","","","",""
"30590","","","","","","","6","6","6"
"30630","","","","","","","5","5","5"
"30640","","","","9","9","9","","",""
"30780","","","","","","","8","8","8"
"30800","","","","","","","4","4","4"
"30960","","","","7","7","7","","",""
"30970","","","","4","4","4","","",""
"31230","5","5","5","","","","","",""
"31360","6","6","6","","","","","",""
"31460","","","","3","3","3","","",""
"31470","","","","7","7","7","","",""
"31600","","","","","","","6","6","6"
"31630","7","7","7","","","","","",""
"31710","2","2","2","","","","4","4","4"
"31780","","","","10","10","10","","",""
"31800","","","","","","","6","6","6"
"31810","","","","","","","9","9","9"
"31830","3","3","3","7","7","7","","",""
"31890","","","","","","","4","4","4"
"32020","9","9","9","","","","","",""
"32030","","","","7","7","7","","",""
"32090","6","6","6","","","","","",""
"32140","","","","","","","6","6","6"
"32150","","","","","","","9","9","9"
"32160","","","","9","9","9","","",""
"32180","","","","6","6","6","","",""
"32310","","","","9","9","9","","",""
"32320","","","","9","9","9","","",""
"32330","","","","","","","7","7","7"
"32360","","","","6","6","6","","",""
"32460","","","","","","","10","10","10"
"32510","","","","","","","5","5","5"
"32560","","","","9","9","9","","",""
"32670","9","9","9","","","","","",""
"32770","","","","","","","7","7","7"
"32800","","","","","","","10","10","10"
"32830","","","","10","10","10","","",""
"32870","","","","","","","7","7","7"
"32900","8","8","8","","","","","",""
"32920","","","","5","5","5","","",""
"32950","","","","4","4","4","","",""
"32990","11","11","11","5","5","5","","",""
"33050","","","","7","7","7","","",""
"33130","","","","3","3","3","","",""
"33200","","","","4","4","4","","",""
"33220","","","","","","","7","7","7"
"33230","6","6","6","5","5","5","","",""
"33270","","","","5","5","5","","",""
"33310","5","5","5","","","","","",""
"33330","","","","","","","7","7","7"
"33370","10","10","10","","","","","",""
"33390","","","","","","","8","8","8"
"33440","","","","","","","5","5","5"
"33480","","","","","","","4","4","4"
"33490","","","","6","6","6","","",""
"33530","","","","7","7","7","","",""
"33650","","","","","","","10","10","10"
"33750","","","","8","8","8","","",""
"33840","","","","7","7","7","","",""
"33910","","","","8","8","8","","",""
"34040","","","","8","8","8","","",""
"34110","9","9","9","","","","","",""
"34160","","","","8","8","8","","",""
"34170","7","7","7","","","","","",""
"34190","","","","","","","6","6","6"
"34460","7","7","7","","","","","",""
"34510","","","","","","","8","8","8"
"34520","","","","","","","7","7","7"
"34530","","","","","","","9","9","9"
"34600","","","","9","9","9","","",""
"34630","4","4","4","","","","","",""
"34700","7","7","7","","","","","",""
"34740","","","","","","","6","6","6"
"34750","","","","5","5","5","","",""
"34760","","","","7","7","7","","",""
"34850","","","","10","10","10","","",""
"34900","6","6","6","","","","","",""
"34990","8","8","8","","","","","",""
"35130","","","","","","","9","9","9"
"35140","8","8","8","","","","","",""
"35200","","","","4","4","4","","",""
"35220","8","8","8","","","","","",""
"35290","8","8","8","","","","","",""
"35300","","","","","","","5","5","5"
"35310","","","","5","5","5","","",""
"35450","","","","5","5","5","","",""
"35580","","","","7","7","7","","",""
"35590","","","","6","6","6","","",""
"35930","11","11","11","","","","","",""
"35960","","","","5","5","5","","",""
"36030","","","","5","5","5","","",""
"36040","","","","10","10","10","","",""
"36050","7","7","7","","","","","",""
"36150","","","","","","","7","7","7"
"36320","","","","","","","5","5","5"
"36380","9","9","9","","","","","",""
"36420","","","","","","","3","3","3"
"36460","","","","","","","6","6","6"
"36470","","","","2","2","2","","",""
"36480","6","6","6","","","","","",""
"36500","7","7","7","","","","","",""
"36530","","","","","","","7","7","7"
"36570","","","","8","8","8","","",""
"36590","10","10","10","","","","","",""
"36620","","","","10","10","10","","",""
"36690","","","","","","","6","6","6"
"36700","","","","","","","6","6","6"
"36920","","","","","","","7","7","7"
"36970","4","4","4","","","","","",""
"37100","8","8","8","","","","","",""
"37210","","","","5","5","5","7","7","7"
"37290","7","7","7","","","","","",""
"37340","","","","9","9","9","","",""
"37390","","","","","","","9","9","9"
"37450","3","3","3","","","","","",""
"37510","7","7","7","","","","","",""
"37520","","","","","","","10","10","10"
"37540","10","10","10","","","","","",""
"37560","5","5","5","","","","","",""
"37620","","","","6","6","6","","",""
"37850","","","","","","","9","9","9"
"37970","","","","6","6","6","","",""
"38110","","","","7","7","7","","",""
"38120","","","","","","","3","3","3"
"38240","8","8","8","","","","","",""
"38270","4","4","4","","","","","",""
"38310","","","","","","","6","6","6"
"38320","","","","8","8","8","","",""
"38350","","","","4","4","4","","",""
"38360","","","","","","","5","5","5"
"38470","7","7","7","","","","","",""
"38490","","","","7","7","7","","",""
"38650","2","2","2","6","6","6","","",""
"38710","","","","","","","9","9","9"
"38720","","","","5","5","5","","",""
"38750","","","","6","6","6","","",""
"38810","9","9","9","7","7","7","","",""
"38820","","","","7","7","7","","",""
"38840","","","","7","7","7","","",""
"38870","","","","","","","9","9","9"
"38970","","","","","","","8","8","8"
"39020","","","","","","","8","8","8"
"39040","","","","7","7","7","","",""
"39130","","","","6","6","6","","",""
"39320","","","","","","","8","8","8"
"39350","","","","","","","8","8","8"
"39360","5","5","5","","","","","",""
"39500","","","","","","","12","12","12"
"39730","6","6","6","","","","","",""
"39740","","","","8","8","8","","",""
"39810","","","","11","11","11","","",""
"39860","","","","6","6","6","","",""
"39870","","","","","","","6","6","6"
"39910","","","","9","9","9","","",""
"39950","","","","8","8","8","","",""
"40030","6","6","6","","","","","",""
"40060","7","7","7","","","","","",""
"40110","","","","8","8","8","","",""
"40160","","","","8","8","8","5","5","5"
"40250","5","5","5","","","","","",""
"40270","","","","10","10","10","","",""
"40350","","","","","","","9","9","9"
"40380","","","","","","","7","7","7"
"40390","","","","4","4","4","","",""
"40460","","","","8","8","8","","",""
"40480","","","","3","3","3","","",""
"40510","","","","","","","5","5","5"
"40540","8","8","8","","","","","",""
"40630","","","","","","","10","10","10"
"40670","4","4","4","","","","","",""
"40700","","","","2","2","2","","",""
"40800","","","","","","","4","4","4"
"40860","","","","7","7","7","","",""
"40880","","","","10","10","10","","",""
"40890","8","8","8","","","","","",""
"40920","7","7","7","","","","","",""
"40930","","","","5","5","5","","",""
"40940","","","","6","6","6","","",""
"40980","","","","8","8","8","6","6","6"
"41100","","","","5","5","5","","",""
"41110","5","5","5","","","","","",""
"41200","4","4","4","","","","","",""
"41280","6","6","6","","","","","",""
"41290","","","","8","8","8","","",""
"41330","","","","7","7","7","","",""
"41390","","","","","","","7","7","7"
"41490","","","","6","6","6","","",""
"41500","10","10","10","10","10","10","","",""
"41510","","","","10","10","10","5","5","5"
"41570","","","","","","","6","6","6"
"41660","","","","7","7","7","10","10","10"
"41680","8","8","8","","","","","",""
"41700","","","","","","","8","8","8"
"41780","","","","","","","8","8","8"
"41900","","","","5","5","5","","",""
"41920","7","7","7","","","","","",""
"41990","","","","6","6","6","","",""
"42010","7","7","7","","","","","",""
"42380","7","7","7","","","","","",""
"42430","","","","5","5","5","","",""
"42520","5","5","5","","","","","",""
"42540","6","6","6","","","","","",""
"42570","","","","","","","9","9","9"
"42670","","","","","","","5","5","5"
"42800","","","","7","7","7","","",""
"42840","","","","5","5","5","","",""
"43000","","","","3","3","3","","",""
"43020","","","","","","","4","4","4"
"43030","6","6","6","","","","","",""
"43120","","","","8","8","8","","",""
"43170","","","","8","8","8","","",""
"43260","","","","","","","10","10","10"
"43330","","","","","","","5","5","5"
"43370","4","4","4","","","","","",""
"43420","11","11","11","","","","","",""
"43430","","","","9","9","9","","",""
"43490","","","","7","7","7","","",""
"43610","","","","10","10","10","8","8","8"
"43670","","","","","","","7","7","7"
