"Step","ofb-final-steps2M-Seed1 - slice1:incoming-traffic","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","ofb-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","dynamic-final-steps2M-Seed1 - slice1:incoming-traffic__MAX","static-final-steps2M-Seed1 - slice1:incoming-traffic","static-final-steps2M-Seed1 - slice1:incoming-traffic__MIN","static-final-steps2M-Seed1 - slice1:incoming-traffic__MAX"
"15780","9","9","9","9","9","9","","",""
"15840","","","","","","","10","10","10"
"15930","10","10","10","11","11","11","","",""
"15950","12","12","12","13","13","13","","",""
"15990","11","11","11","10","10","10","","",""
"16010","","","","","","","7","7","7"
"16070","11","11","11","12","12","12","","",""
"16120","9","9","9","14","14","14","","",""
"16140","","","","","","","9","9","9"
"16270","12","12","12","8","8","8","","",""
"16470","","","","","","","8","8","8"
"16680","9","9","9","7","7","7","","",""
"16820","7","7","7","11","11","11","","",""
"16870","","","","","","","11","11","11"
"16890","8","8","8","7","7","7","","",""
"16900","","","","","","","12","12","12"
"17070","11","11","11","10","10","10","","",""
"17150","","","","","","","7","7","7"
"17230","","","","","","","9","9","9"
"17270","","","","6","6","6","","",""
"17360","10","10","10","8","8","8","","",""
"17410","12","12","12","9","9","9","","",""
"17450","10","10","10","8","8","8","","",""
"17590","","","","","","","9","9","9"
"17690","10","10","10","7","7","7","","",""
"17950","10","10","10","10","10","10","","",""
"18110","11","11","11","8","8","8","","",""
"18190","9","9","9","9","9","9","","",""
"18430","11","11","11","13","13","13","","",""
"18510","9","9","9","11","11","11","","",""
"18540","","","","12","12","12","","",""
"18580","12","12","12","10","10","10","","",""
"18590","13","13","13","9","9","9","","",""
"18640","5","5","5","8","8","8","","",""
"18850","","","","","","","10","10","10"
"18910","11","11","11","4","4","4","","",""
"18920","","","","","","","10","10","10"
"18950","9","9","9","8","8","8","","",""
"18980","9","9","9","8","8","8","","",""
"18990","9","9","9","5","5","5","","",""
"19060","9","9","9","10","10","10","","",""
"19140","","","","","","","9","9","9"
"19200","","","","","","","7","7","7"
"19250","","","","","","","11","11","11"
"19290","","","","","","","8","8","8"
"19330","14","14","14","8","8","8","","",""
"19430","","","","","","","12","12","12"
"19440","","","","","","","8","8","8"
"19470","10","10","10","8","8","8","","",""
"19580","13","13","13","7","7","7","","",""
"19700","","","","","","","9","9","9"
"19740","8","8","8","9","9","9","","",""
"19860","","","","","","","6","6","6"
"20060","","","","","","","12","12","12"
"20270","","","","","","","10","10","10"
"20290","","","","","","","10","10","10"
"20330","10","10","10","9","9","9","","",""
"20370","","","","","","","7","7","7"
"20460","","","","","","","10","10","10"
"20500","8","8","8","12","12","12","","",""
"20560","","","","","","","10","10","10"
"20670","","","","","","","12","12","12"
"20680","7","7","7","12","12","12","","",""
"20740","8","8","8","9","9","9","","",""
"20810","10","10","10","10","10","10","","",""
"20820","","","","","","","11","11","11"
"20830","10","10","10","9","9","9","","",""
"20900","8","8","8","10","10","10","","",""
"21160","9","9","9","11","11","11","","",""
"21210","5","5","5","7","7","7","","",""
"21260","8","8","8","8","8","8","","",""
"21400","","","","","","","12","12","12"
"21440","11","11","11","8","8","8","","",""
"21500","","","","","","","14","14","14"
"21800","15","15","15","9","9","9","","",""
"21810","","","","","","","11","11","11"
"21830","9","9","9","8","8","8","","",""
"21880","","","","","","","9","9","9"
"21910","14","14","14","5","5","5","","",""
"21920","","","","8","8","8","","",""
"22000","7","7","7","9","9","9","","",""
"22280","12","12","12","10","10","10","","",""
"22320","","","","","","","11","11","11"
"22330","","","","","","","10","10","10"
"22380","8","8","8","8","8","8","","",""
"22440","","","","","","","9","9","9"
"22500","8","8","8","3","3","3","","",""
"22590","9","9","9","12","12","12","","",""
"22600","10","10","10","11","11","11","","",""
"22660","","","","","","","9","9","9"
"22700","","","","","","","8","8","8"
