"Step","ofb-final-steps2M-Seed1 - slice1:latency_per_packet","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","ofb-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","dynamic-final-steps2M-Seed1 - slice1:latency_per_packet__MAX","static-final-steps2M-Seed1 - slice1:latency_per_packet","static-final-steps2M-Seed1 - slice1:latency_per_packet__MIN","static-final-steps2M-Seed1 - slice1:latency_per_packet__MAX"
"16120","","","","8.333333333333334","8.333333333333334","8.333333333333334","","",""
"16160","0","0","0","","","","","",""
"16200","0.2","0.2","0.2","","","","","",""
"16350","2.4","2.4","2.4","","","","","",""
"16380","","","","","","","56.3","56.3","56.3"
"16490","4.333333333333333","4.333333333333333","4.333333333333333","","","","","",""
"16610","","","","36.833333333333336","36.833333333333336","36.833333333333336","","",""
"16700","","","","","","","41.38461538461539","41.38461538461539","41.38461538461539"
"16720","","","","","","","39.77777777777778","39.77777777777778","39.77777777777778"
"16740","","","","26.23076923076923","26.23076923076923","26.23076923076923","","",""
"16850","","","","22","22","22","","",""
"16860","","","","22.636363636363637","22.636363636363637","22.636363636363637","","",""
"17040","15","15","15","","","","","",""
"17210","16.5","16.5","16.5","","","","","",""
"17220","","","","","","","61.63636363636363","61.63636363636363","61.63636363636363"
"17250","","","","4.769230769230769","4.769230769230769","4.769230769230769","","",""
"17270","14.6","14.6","14.6","","","","","",""
"17340","14.222222222222221","14.222222222222221","14.222222222222221","","","","","",""
"17410","","","","4.25","4.25","4.25","","",""
"17480","","","","","","","69.3","69.3","69.3"
"17490","13.3","13.3","13.3","","","","","",""
"17570","","","","0.36363636363636365","0.36363636363636365","0.36363636363636365","","",""
"17600","13","13","13","","","","","",""
"17620","","","","","","","67.55555555555556","67.55555555555556","67.55555555555556"
"17680","","","","1.5","1.5","1.5","","",""
"17730","26.5","26.5","26.5","","","","","",""
"17750","","","","","","","58.3","58.3","58.3"
"17770","29.666666666666668","29.666666666666668","29.666666666666668","","","","","",""
"17780","","","","","","","60.666666666666664","60.666666666666664","60.666666666666664"
"17830","","","","10.333333333333334","10.333333333333334","10.333333333333334","","",""
"17920","","","","16.8","16.8","16.8","","",""
"17960","47.77777777777778","47.77777777777778","47.77777777777778","","","","","",""
"18040","51.44444444444444","51.44444444444444","51.44444444444444","","","","","",""
"18070","55.875","55.875","55.875","","","","","",""
"18090","","","","","","","49.8","49.8","49.8"
"18100","","","","18.7","18.7","18.7","","",""
"18110","","","","20.333333333333332","20.333333333333332","20.333333333333332","","",""
"18130","62.2","62.2","62.2","","","","","",""
"18160","66.22222222222223","66.22222222222223","66.22222222222223","20.9","20.9","20.9","","",""
"18170","","","","21.272727272727273","21.272727272727273","21.272727272727273","","",""
"18210","","","","24.2","24.2","24.2","","",""
"18330","69.11111111111111","69.11111111111111","69.11111111111111","","","","","",""
"18410","","","","28","28","28","","",""
"18470","","","","26.22222222222222","26.22222222222222","26.22222222222222","","",""
"18620","68","68","68","44","44","44","","",""
"18690","","","","","","","30","30","30"
"18730","","","","51.5","51.5","51.5","","",""
"19030","","","","48.888888888888886","48.888888888888886","48.888888888888886","","",""
"19040","","","","","","","47.375","47.375","47.375"
"19090","","","","45.53846153846154","45.53846153846154","45.53846153846154","","",""
"19140","","","","45.5","45.5","45.5","","",""
"19310","69.33333333333333","69.33333333333333","69.33333333333333","","","","","",""
"19320","68.4","68.4","68.4","","","","","",""
"19370","67.1","67.1","67.1","51.27272727272727","51.27272727272727","51.27272727272727","","",""
"19590","","","","43.416666666666664","43.416666666666664","43.416666666666664","","",""
"19620","","","","46.55555555555556","46.55555555555556","46.55555555555556","44.18181818181818","44.18181818181818","44.18181818181818"
"19690","66.72727272727273","66.72727272727273","66.72727272727273","","","","37.3","37.3","37.3"
"19720","","","","","","","32.9","32.9","32.9"
"19760","","","","55.666666666666664","55.666666666666664","55.666666666666664","","",""
"19770","","","","55.72727272727273","55.72727272727273","55.72727272727273","33.7","33.7","33.7"
"19840","67.75","67.75","67.75","","","","","",""
"19940","","","","","","","27.166666666666668","27.166666666666668","27.166666666666668"
"20110","69.55555555555556","69.55555555555556","69.55555555555556","","","","","",""
"20140","","","","","","","16.666666666666668","16.666666666666668","16.666666666666668"
"20170","","","","","","","16","16","16"
"20190","70","70","70","","","","","",""
"20260","","","","53.36363636363637","53.36363636363637","53.36363636363637","","",""
"20320","70","70","70","","","","","",""
"20360","70","70","70","","","","","",""
"20390","68.6","68.6","68.6","","","","","",""
"20400","67.88888888888889","67.88888888888889","67.88888888888889","","","","","",""
"20420","","","","","","","15.777777777777779","15.777777777777779","15.777777777777779"
"20510","67.9","67.9","67.9","","","","","",""
"20540","","","","51.75","51.75","51.75","","",""
"20630","67.375","67.375","67.375","","","","","",""
"20690","64.81818181818181","64.81818181818181","64.81818181818181","","","","","",""
"20830","","","","47.3","47.3","47.3","","",""
"20880","66.8","66.8","66.8","","","","","",""
"20930","","","","","","","0.9","0.9","0.9"
"21020","67.22222222222223","67.22222222222223","67.22222222222223","","","","","",""
"21040","67.11111111111111","67.11111111111111","67.11111111111111","","","","","",""
"21080","","","","","","","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"21140","","","","48.18181818181818","48.18181818181818","48.18181818181818","","",""
"21150","63.583333333333336","63.583333333333336","63.583333333333336","","","","","",""
"21210","61.7","61.7","61.7","","","","","",""
"21300","","","","","","","5.111111111111111","5.111111111111111","5.111111111111111"
"21360","","","","","","","6","6","6"
"21380","53.5","53.5","53.5","","","","","",""
"21460","42.63636363636363","42.63636363636363","42.63636363636363","","","","","",""
"21640","","","","46.166666666666664","46.166666666666664","46.166666666666664","","",""
"21690","32.7","32.7","32.7","","","","","",""
"21770","","","","42.6","42.6","42.6","","",""
"21790","","","","","","","16.7","16.7","16.7"
"21800","","","","40.09090909090909","40.09090909090909","40.09090909090909","","",""
"21810","","","","42.2","42.2","42.2","","",""
"21880","","","","","","","15","15","15"
"21920","","","","","","","16.333333333333332","16.333333333333332","16.333333333333332"
"21930","21.6","21.6","21.6","","","","","",""
"21990","","","","","","","13.75","13.75","13.75"
"22000","","","","41.72727272727273","41.72727272727273","41.72727272727273","","",""
"22090","","","","","","","13.8","13.8","13.8"
"22210","","","","","","","6.818181818181818","6.818181818181818","6.818181818181818"
"22240","","","","","","","5","5","5"
"22250","11.181818181818182","11.181818181818182","11.181818181818182","","","","","",""
"22260","","","","","","","3.769230769230769","3.769230769230769","3.769230769230769"
"22310","4.666666666666667","4.666666666666667","4.666666666666667","","","","","",""
"22400","","","","38.54545454545455","38.54545454545455","38.54545454545455","","",""
"22570","","","","","","","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"22630","","","","","","","0","0","0"
"22670","","","","20.2","20.2","20.2","","",""
"22700","0","0","0","","","","","",""
"22810","0","0","0","","","","","",""
"22890","","","","19.444444444444443","19.444444444444443","19.444444444444443","","",""
"22900","","","","","","","2","2","2"
"22910","","","","19","19","19","","",""
"23060","","","","29.5","29.5","29.5","","",""
"23070","","","","","","","0.6","0.6","0.6"
"23220","0","0","0","","","","","",""
"23250","","","","21.9","21.9","21.9","","",""
"23300","","","","","","","1","1","1"
"23430","","","","11.818181818181818","11.818181818181818","11.818181818181818","","",""
"23490","2","2","2","","","","","",""
"23510","","","","","","","0.7","0.7","0.7"
"23710","0.125","0.125","0.125","","","","","",""
"23740","1.6","1.6","1.6","","","","","",""
"23750","","","","","","","0","0","0"
"23800","","","","","","","0.3","0.3","0.3"
"23810","","","","3.8","3.8","3.8","","",""
"23970","","","","2.4","2.4","2.4","","",""
"23980","","","","","","","0","0","0"
"24060","0","0","0","","","","","",""
"24100","0","0","0","","","","","",""
"24160","","","","","","","17.384615384615383","17.384615384615383","17.384615384615383"
"24190","0","0","0","","","","","",""
"24240","","","","16.1","16.1","16.1","","",""
"24260","","","","17.444444444444443","17.444444444444443","17.444444444444443","","",""
"24300","","","","","","","0","0","0"
"24420","","","","27.23076923076923","27.23076923076923","27.23076923076923","","",""
"24470","","","","21.9","21.9","21.9","","",""
"24560","","","","","","","0","0","0"
"24610","0.4","0.4","0.4","","","","","",""
"24680","","","","19","19","19","","",""
"24690","","","","19","19","19","","",""
"24700","0.36363636363636365","0.36363636363636365","0.36363636363636365","","","","","",""
"24800","","","","","","","2.4","2.4","2.4"
"24840","","","","23.583333333333332","23.583333333333332","23.583333333333332","","",""
"24930","","","","","","","0","0","0"
"24950","","","","25.22222222222222","25.22222222222222","25.22222222222222","","",""
"24990","0.1","0.1","0.1","","","","","",""
"25040","","","","23.181818181818183","23.181818181818183","23.181818181818183","1","1","1"
"25070","0","0","0","","","","","",""
"25180","0","0","0","","","","","",""
"25270","","","","26.727272727272727","26.727272727272727","26.727272727272727","12","12","12"
"25320","","","","29.454545454545453","29.454545454545453","29.454545454545453","","",""
"25330","","","","","","","7.545454545454546","7.545454545454546","7.545454545454546"
"25370","","","","","","","6.777777777777778","6.777777777777778","6.777777777777778"
"25380","0","0","0","","","","","",""
"25450","","","","29","29","29","","",""
"25480","","","","27.916666666666668","27.916666666666668","27.916666666666668","","",""
"25490","0","0","0","","","","","",""
"25540","","","","","","","6","6","6"
"25600","","","","35.76923076923077","35.76923076923077","35.76923076923077","","",""
"25630","","","","","","","7.222222222222222","7.222222222222222","7.222222222222222"
"25640","","","","","","","7.875","7.875","7.875"
"25710","","","","39","39","39","","",""
"25780","0","0","0","","","","","",""
"25790","0","0","0","","","","","",""
"25840","","","","44.36363636363637","44.36363636363637","44.36363636363637","","",""
"25880","0","0","0","","","","","",""
"25910","","","","35.5","35.5","35.5","","",""
"25950","","","","29.53846153846154","29.53846153846154","29.53846153846154","","",""
"25970","0","0","0","","","","","",""
"25990","0","0","0","","","","","",""
"26120","","","","24.7","24.7","24.7","","",""
"26160","","","","","","","4.333333333333333","4.333333333333333","4.333333333333333"
"26180","0","0","0","","","","6.222222222222222","6.222222222222222","6.222222222222222"
"26200","","","","","","","7.4","7.4","7.4"
"26240","","","","","","","2.5","2.5","2.5"
"26250","","","","24.333333333333332","24.333333333333332","24.333333333333332","","",""
"26270","","","","","","","0","0","0"
"26600","0","0","0","","","","","",""
"26610","0","0","0","","","","","",""
"26620","","","","","","","0.5","0.5","0.5"
"26640","0","0","0","","","","","",""
"26710","","","","","","","0","0","0"
"26750","0","0","0","","","","","",""
"26810","0","0","0","","","","0","0","0"
"26830","","","","","","","0","0","0"
"26840","0","0","0","","","","","",""
"26880","","","","15.818181818181818","15.818181818181818","15.818181818181818","","",""
"26970","","","","","","","0","0","0"
"26990","","","","5","5","5","","",""
"27010","0","0","0","","","","","",""
"27090","","","","","","","0","0","0"
"27110","0","0","0","","","","","",""
"27250","","","","","","","0.1","0.1","0.1"
"27280","0","0","0","","","","","",""
"27310","","","","6.777777777777778","6.777777777777778","6.777777777777778","","",""
