"Step","00-dynamic","00-dynamic - latency-1__MIN","00-dynamic - latency-1__MAX","00-every-100","00-every-100 - latency-1__MIN","00-every-100 - latency-1__MAX","00-every-10","00-every-10 - latency-1__MIN","00-every-10 - latency-1__MAX","00-static-1","00-static-1 - latency-1__MIN","00-static-1 - latency-1__MAX","00-ofb","00-ofb - latency-1__MIN","00-ofb - latency-1__MAX"
"1197","","","","","","","","","","44","44","44","0","0","0"
"1201","0","0","0","","","","","","","","","","","",""
"1204","","","","","","","","","","49.333333333333336","49.333333333333336","49.333333333333336","0","0","0"
"1216","","","","","","","37.4","37.4","37.4","","","","","",""
"1236","","","","","","","1.1666666666666667","1.1666666666666667","1.1666666666666667","","","","","",""
"1244","","","","","","","","","","0","0","0","0","0","0"
"1249","","","","","","","0","0","0","","","","","",""
"1250","","","","","","","0.8","0.8","0.8","","","","","",""
"1252","","","","","","","","","","0","0","0","0","0","0"
"1259","","","","","","","","","","0","0","0","0","0","0"
"1264","","","","","","","","","","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"1268","","","","","","","0","0","0","","","","","",""
"1270","","","","","","","0.25","0.25","0.25","","","","","",""
"1273","","","","","","","","","","0","0","0","0","0","0"
"1279","0","0","0","","","","","","","0","0","0","0","0","0"
"1282","","","","","","","0","0","0","","","","","",""
"1286","","","","","","","0","0","0","","","","","",""
"1291","","","","0","0","0","","","","","","","","",""
"1294","0.6","0.6","0.6","","","","","","","","","","","",""
"1296","","","","","","","0","0","0","","","","","",""
"1297","0","0","0","","","","0","0","0","","","","","",""
"1298","","","","","","","0","0","0","","","","","",""
"1299","0","0","0","","","","","","","","","","","",""
"1305","0","0","0","","","","","","","","","","","",""
"1307","","","","","","","","","","0","0","0","13.4","13.4","13.4"
"1309","","","","0","0","0","","","","","","","","",""
"1313","0.7777777777777778","0.7777777777777778","0.7777777777777778","","","","","","","","","","","",""
"1321","","","","0","0","0","0","0","0","","","","","",""
"1324","0","0","0","","","","","","","","","","","",""
"1326","","","","0","0","0","","","","","","","","",""
"1332","","","","","","","0","0","0","","","","","",""
"1344","","","","","","","","","","0","0","0","0","0","0"
"1345","0","0","0","","","","0","0","0","","","","","",""
"1347","","","","","","","","","","0","0","0","0","0","0"
"1350","","","","","","","","","","0","0","0","0","0","0"
"1353","","","","0","0","0","","","","","","","","",""
"1357","","","","","","","","","","2.5","2.5","2.5","0","0","0"
"1360","0","0","0","","","","","","","","","","","",""
"1383","","","","","","","","","","0","0","0","0","0","0"
"1385","","","","","","","0","0","0","","","","","",""
"1387","","","","","","","","","","13.25","13.25","13.25","0","0","0"
"1389","","","","1","1","1","","","","","","","","",""
"1391","","","","0.5","0.5","0.5","","","","","","","","",""
"1394","","","","","","","0","0","0","","","","","",""
"1395","","","","","","","","","","9","9","9","0","0","0"
"1406","","","","","","","0","0","0","","","","","",""
"1409","0","0","0","","","","","","","","","","","",""
"1414","","","","0","0","0","","","","","","","","",""
"1417","","","","","","","0","0","0","","","","","",""
"1419","","","","","","","","","","0","0","0","0","0","0"
