"Step","00-dynamic","00-dynamic - dead-1__MIN","00-dynamic - dead-1__MAX","00-every-100","00-every-100 - dead-1__MIN","00-every-100 - dead-1__MAX","00-every-10","00-every-10 - dead-1__MIN","00-every-10 - dead-1__MAX","00-static-1","00-static-1 - dead-1__MIN","00-static-1 - dead-1__MAX","00-ofb","00-ofb - dead-1__MIN","00-ofb - dead-1__MAX"
"1442","0","0","0","","","","","","","0","0","0","0","0","0"
"1444","0","0","0","","","","","","","0","0","0","0","0","0"
"1445","0","0","0","","","","","","","0","0","0","0","0","0"
"1446","","","","0","0","0","","","","","","","","",""
"1457","","","","","","","0","0","0","","","","","",""
"1466","0","0","0","","","","","","","0","0","0","0","0","0"
"1467","","","","0","0","0","","","","","","","","",""
"1479","0","0","0","","","","","","","0","0","0","0","0","0"
"1484","","","","","","","0","0","0","","","","","",""
"1486","0","0","0","","","","","","","0","0","0","0","0","0"
"1488","","","","","","","0","0","0","","","","","",""
"1489","","","","","","","0","0","0","","","","","",""
"1493","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"1498","","","","","","","0","0","0","","","","","",""
"1501","","","","0","0","0","","","","","","","","",""
"1506","0","0","0","","","","","","","0","0","0","0","0","0"
"1515","","","","","","","0","0","0","","","","","",""
"1517","","","","0","0","0","","","","","","","","",""
"1518","0","0","0","","","","","","","0","0","0","0","0","0"
"1519","","","","","","","0","0","0","","","","","",""
"1528","","","","0","0","0","","","","","","","","",""
"1542","0","0","0","","","","","","","0","0","0","0","0","0"
"1545","","","","0","0","0","","","","","","","","",""
"1548","0","0","0","","","","","","","0","0","0","0","0","0"
"1553","","","","","","","0","0","0","","","","","",""
"1558","","","","","","","0","0","0","","","","","",""
"1563","","","","0","0","0","","","","","","","","",""
"1566","","","","","","","0","0","0","","","","","",""
"1582","","","","0","0","0","","","","","","","","",""
"1596","","","","0","0","0","","","","","","","","",""
"1601","","","","","","","0","0","0","","","","","",""
"1614","","","","0","0","0","","","","","","","","",""
"1617","","","","0","0","0","","","","","","","","",""
"1630","0","0","0","","","","","","","0","0","0","0","0","0"
"1631","0","0","0","","","","","","","0","0","0","0","0","0"
"1634","","","","0","0","0","","","","","","","","",""
"1636","0","0","0","","","","","","","0","0","0","0","0","0"
"1639","","","","0","0","0","","","","","","","","",""
"1647","","","","0","0","0","","","","","","","","",""
"1650","0","0","0","","","","","","","0","0","0","0","0","0"
"1651","0","0","0","","","","","","","0","0","0","0","0","0"
"1666","","","","","","","0","0","0","","","","","",""
"1667","","","","0","0","0","","","","","","","","",""
"1672","","","","0","0","0","","","","","","","","",""
"1673","","","","","","","0","0","0","","","","","",""
"1675","","","","0","0","0","","","","","","","","",""
"1681","","","","","","","0","0","0","","","","","",""
"1684","","","","","","","0","0","0","","","","","",""
"1705","","","","","","","0","0","0","","","","","",""
"1708","0","0","0","","","","0","0","0","0","0","0","0","0","0"
"1710","","","","0","0","0","","","","","","","","",""
"1711","0","0","0","","","","","","","0","0","0","0","0","0"
"1727","0","0","0","","","","","","","0","0","0","0","0","0"
"1729","","","","","","","0","0","0","","","","","",""
