"Step","00-dynamic","00-dynamic - drop-0__MIN","00-dynamic - drop-0__MAX","00-every-100","00-every-100 - drop-0__MIN","00-every-100 - drop-0__MAX","00-every-10","00-every-10 - drop-0__MIN","00-every-10 - drop-0__MAX","00-static-1","00-static-1 - drop-0__MIN","00-static-1 -drop-0__MAX","00-ofb","00-ofb - drop-0__MIN","00-ofb - drop-0__MAX"
"1398","","","","0","0","0","","","","","","","","",""
"1401","","","","","","","","","","","","","8","8","8"
"1404","","","","","","","13","13","13","","","","","",""
"1413","","","","","","","","","","2","2","2","","",""
"1418","","","","0","0","0","","","","","","","","",""
"1421","","","","","","","6","6","6","","","","","",""
"1425","10","10","10","","","","","","","","","","","",""
"1435","","","","","","","7","7","7","","","","","",""
"1456","","","","","","","","","","1","1","1","","",""
"1458","","","","","","","","","","","","","7","7","7"
"1466","","","","0","0","0","","","","","","","","",""
"1467","","","","","","","","","","","","","8","8","8"
"1474","","","","0","0","0","","","","","","","","",""
"1477","","","","","","","","","","","","","5","5","5"
"1481","","","","","","","","","","","","","3","3","3"
"1482","","","","0","0","0","","","","","","","","",""
"1483","","","","","","","","","","","","","7","7","7"
"1485","5","5","5","","","","","","","6","6","6","","",""
"1486","","","","","","","","","","0","0","0","","",""
"1489","","","","0","0","0","","","","","","","","",""
"1493","9","9","9","","","","","","","","","","","",""
"1494","","","","","","","9","9","9","","","","","",""
"1495","","","","0","0","0","","","","","","","","",""
"1496","","","","","","","10","10","10","","","","","",""
"1497","","","","","","","","","","9","9","9","","",""
"1498","","","","0","0","0","","","","","","","","",""
"1500","","","","","","","","","","2","2","2","","",""
"1507","5","5","5","","","","3","3","3","","","","","",""
"1516","","","","","","","","","","","","","8","8","8"
"1530","","","","","","","","","","8","8","8","1","1","1"
"1532","","","","0","0","0","","","","","","","","",""
"1533","6","6","6","","","","","","","","","","","",""
"1534","","","","","","","7","7","7","","","","","",""
"1539","","","","9","9","9","","","","","","","","",""
"1541","","","","","","","","","","10","10","10","","",""
"1549","","","","","","","0","0","0","","","","","",""
"1551","","","","","","","3","3","3","","","","","",""
"1554","8","8","8","","","","","","","8","8","8","","",""
"1555","","","","","","","1","1","1","","","","","",""
"1558","","","","","","","","","","10","10","10","","",""
"1559","","","","","","","0","0","0","8","8","8","","",""
"1562","","","","","","","0","0","0","","","","","",""
"1566","","","","5","5","5","","","","12","12","12","","",""
"1567","","","","","","","","","","","","","8","8","8"
"1572","7","7","7","","","","","","","","","","","",""
"1574","","","","","","","0","0","0","","","","","",""
"1576","","","","","","","","","","14","14","14","","",""
"1584","","","","","","","","","","7","7","7","","",""
"1586","","","","","","","","","","","","","4","4","4"
"1587","","","","","","","0","0","0","","","","0","0","0"
"1592","","","","","","","0","0","0","","","","","",""
"1593","","","","0","0","0","","","","","","","","",""
"1595","9","9","9","","","","","","","","","","","",""
"1601","14","14","14","","","","","","","","","","","",""
"1603","13","13","13","","","","","","","","","","","",""
"1608","","","","","","","","","","","","","0","0","0"
"1610","","","","","","","","","","12","12","12","","",""
"1611","","","","","","","0","0","0","","","","","",""
"1612","","","","","","","0","0","0","","","","","",""
"1614","10","10","10","","","","","","","","","","","",""
"1615","","","","","","","","","","","","","0","0","0"
"1618","","","","5","5","5","","","","","","","","",""
"1623","","","","","","","4","4","4","12","12","12","","",""
"1624","","","","","","","1","1","1","","","","","",""
"1631","","","","","","","6","6","6","9","9","9","","",""
"1634","","","","","","","","","","11","11","11","","",""
"1637","","","","","","","1","1","1","","","","","",""
"1638","","","","","","","5","5","5","","","","","",""
"1639","","","","","","","","","","","","","0","0","0"
"1643","","","","5","5","5","","","","","","","","",""
"1648","15","15","15","","","","","","","8","8","8","","",""
"1654","","","","6","6","6","","","","","","","0","0","0"
"1655","","","","","","","","","","","","","0","0","0"
"1664","","","","","","","","","","3","3","3","","",""
"1674","","","","","","","","","","","","","0","0","0"
"1675","","","","","","","","","","","","","0","0","0"
"1683","","","","4","4","4","","","","","","","","",""
"1690","","","","","","","","","","8","8","8","","",""
"1692","","","","","","","","","","7","7","7","","",""
"1694","","","","","","","","","","","","","0","0","0"
"1695","","","","","","","11","11","11","","","","","",""
"1696","","","","4","4","4","","","","","","","","",""
"1704","10","10","10","","","","","","","","","","0","0","0"
"1707","","","","7","7","7","","","","","","","","",""
"1709","","","","6","6","6","","","","","","","","",""
"1712","","","","8","8","8","","","","","","","","",""
"1713","","","","","","","","","","","","","0","0","0"
"1714","","","","7","7","7","","","","","","","","",""
"1715","","","","","","","7","7","7","6","6","6","","",""
"1722","","","","","","","","","","","","","0","0","0"
"1729","","","","","","","","","","8","8","8","","",""
"1735","","","","","","","","","","12","12","12","","",""
"1737","6","6","6","","","","","","","","","","","",""
"1744","","","","","","","","","","","","","0","0","0"
"1749","","","","","","","","","","","","","0","0","0"
"1757","","","","","","","","","","","","","0","0","0"
"1759","","","","","","","10","10","10","","","","","",""
"1762","","","","","","","","","","13","13","13","","",""
"1765","11","11","11","","","","","","","","","","","",""
"1766","6","6","6","","","","","","","","","","","",""
"1780","","","","10","10","10","","","","","","","","",""
"1783","","","","10","10","10","","","","","","","","",""
"1792","","","","","","","16","16","16","","","","0","0","0"
"1794","7","7","7","","","","","","","","","","","",""
"1795","","","","","","","7","7","7","9","9","9","","",""
"1798","","","","","","","","","","5","5","5","","",""
"1816","","","","1","1","1","11","11","11","","","","","",""
"1817","","","","9","9","9","","","","","","","","",""
"1818","0","0","0","","","","","","","","","","","",""
"1821","","","","","","","","","","","","","0","0","0"
"1830","","","","","","","","","","","","","0","0","0"
"1832","","","","3","3","3","","","","","","","","",""
"1833","5","5","5","","","","","","","","","","","",""
"1835","","","","","","","5","5","5","","","","","",""
"1840","","","","","","","","","","11","11","11","","",""
"1843","","","","9","9","9","","","","","","","","",""
"1869","","","","10","10","10","","","","","","","","",""
"1875","","","","","","","0","0","0","","","","","",""
"1878","","","","","","","","","","","","","0","0","0"
"1882","","","","","","","","","","18","18","18","","",""
"1887","","","","","","","","","","","","","0","0","0"
"1890","","","","","","","","","","","","","0","0","0"
"1893","","","","","","","","","","","","","0","0","0"
"1899","4","4","4","","","","","","","","","","","",""
"1902","3","3","3","","","","","","","","","","","",""
"1908","8","8","8","","","","","","","","","","","",""
"1909","","","","11","11","11","","","","","","","","",""
"1911","","","","","","","","","","7","7","7","","",""
"1919","","","","","","","","","","8","8","8","","",""
"1920","","","","","","","8","8","8","","","","","",""
"1923","","","","","","","","","","4","4","4","","",""
"1924","","","","","","","","","","5","5","5","","",""
"1925","","","","","","","0","0","0","","","","","",""
"1927","","","","","","","","","","","","","0","0","0"
"1930","","","","10","10","10","","","","","","","","",""
"1934","","","","","","","5","5","5","","","","0","0","0"
"1935","","","","","","","5","5","5","","","","","",""
"1937","8","8","8","","","","","","","","","","","",""
"1940","","","","","","","10","10","10","5","5","5","","",""
"1947","","","","","","","0","0","0","","","","","",""
"1952","6","6","6","","","","","","","","","","","",""
"1957","","","","","","","0","0","0","","","","","",""
"1967","","","","","","","4","4","4","","","","","",""
"1968","","","","","","","","","","","","","0","0","0"
"1970","","","","","","","","","","12","12","12","","",""
"1976","","","","","","","","","","","","","0","0","0"
"1977","5","5","5","","","","","","","","","","","",""
"1986","13","13","13","","","","","","","","","","","",""
"1988","","","","","","","7","7","7","","","","","",""
"1989","","","","","","","9","9","9","","","","","",""
"1991","","","","","","","7","7","7","","","","","",""
"1994","","","","10","10","10","","","","","","","","",""
"2001","","","","","","","8","8","8","","","","","",""
"2004","5","5","5","","","","","","","","","","","",""
"2006","","","","13","13","13","","","","7","7","7","","",""
"2012","3","3","3","","","","","","","","","","","",""
"2015","6","6","6","","","","","","","11","11","11","","",""
"2016","","","","7","7","7","","","","","","","","",""
"2019","","","","","","","","","","","","","0","0","0"
"2024","","","","","","","0","0","0","","","","","",""
"2025","8","8","8","","","","","","","","","","0","0","0"
"2033","","","","","","","","","","9","9","9","","",""
"2034","","","","","","","","","","6","6","6","","",""
"2038","","","","10","10","10","","","","","","","","",""
"2039","","","","","","","0","0","0","","","","","",""
"2041","3","3","3","","","","","","","","","","","",""
"2044","6","6","6","","","","","","","","","","","",""
"2047","","","","","","","","","","","","","0","0","0"
"2051","12","12","12","","","","","","","5","5","5","","",""
"2052","","","","","","","","","","","","","0","0","0"
"2053","","","","13","13","13","","","","","","","","",""
"2061","","","","","","","0","0","0","","","","","",""
"2064","","","","","","","","","","","","","0","0","0"
"2066","13","13","13","","","","","","","","","","","",""
"2067","","","","","","","","","","","","","0","0","0"
"2068","","","","","","","","","","","","","0","0","0"
