"Step","102-static-1","102-static-1 - dead-1__MIN","102-static-1 - dead-1__MAX","102-ofb","102-ofbt - dead-1__MIN","102-ofbt - dead-1__MAX","102-dynamic","102-dynamic - dead-1__MIN","102-dynamic - dead-1__MAX","102-every-10","102-every-10 - dead-1__MIN","102-every-10 - dead-1__MAX","102-every-100","102-every-100 - dead-1__MIN","102-every-100 - dead-1__MAX"
"732","","","","","","","","","","0","0","0","0","0","0"
"733","","","","0","0","0","","","","","","","","",""
"734","","","","","","","","","","0","0","0","","",""
"735","","","","0","0","0","","","","","","","","",""
"740","","","","0","0","0","","","","0","0","0","0","0","0"
"743","","","","","","","0","0","0","","","","","",""
"745","0","0","0","","","","","","","","","","","",""
"755","0","0","0","0","0","0","","","","","","","","",""
"760","","","","","","","","","","0","0","0","","",""
"763","0","0","0","","","","","","","","","","","",""
"765","","","","","","","","","","","","","0","0","0"
"768","0","0","0","","","","","","","","","","","",""
"772","","","","0","0","0","","","","","","","","",""
"779","","","","0","0","0","","","","","","","","",""
"781","","","","","","","0","0","0","","","","","",""
"782","","","","0","0","0","","","","","","","","",""
"783","","","","0","0","0","","","","","","","","",""
"789","","","","","","","","","","0","0","0","","",""
"797","","","","0","0","0","","","","","","","0","0","0"
"802","0","0","0","","","","","","","","","","","",""
"807","","","","","","","","","","0","0","0","0","0","0"
"812","","","","","","","0","0","0","","","","","",""
"822","0","0","0","","","","","","","","","","","",""
"827","","","","0","0","0","","","","","","","","",""
"832","","","","0","0","0","","","","0","0","0","","",""
"835","","","","","","","0","0","0","","","","","",""
"836","","","","","","","","","","","","","0","0","0"
"839","","","","0","0","0","","","","","","","7","7","7"
"840","","","","0","0","0","0","0","0","","","","","",""
"841","","","","","","","","","","0","0","0","","",""
"843","","","","0","0","0","","","","","","","","",""
"844","","","","","","","","","","","","","0","0","0"
"845","","","","0","0","0","","","","","","","","",""
"846","0","0","0","","","","","","","","","","","",""
"847","","","","0","0","0","0","0","0","","","","","",""
"850","","","","0","0","0","","","","","","","","",""
"856","","","","","","","","","","","","","0","0","0"
"858","","","","","","","","","","","","","0","0","0"
"861","","","","0","0","0","","","","","","","","",""
"865","","","","","","","","","","0","0","0","","",""
"877","0","0","0","","","","","","","","","","","",""
"886","0","0","0","","","","","","","","","","","",""
"895","","","","0","0","0","","","","","","","","",""
"896","0","0","0","","","","","","","","","","","",""
"897","","","","0","0","0","","","","","","","","",""
"900","","","","","","","","","","5","5","5","","",""
"907","0","0","0","","","","","","","","","","","",""
"917","","","","","","","0","0","0","","","","","",""
"919","0","0","0","","","","","","","","","","","",""
"924","","","","","","","0","0","0","","","","","",""
"926","","","","","","","","","","","","","0","0","0"
"933","","","","","","","0","0","0","","","","","",""
"935","","","","","","","","","","8","8","8","","",""
"944","","","","","","","0","0","0","","","","","",""
"945","","","","","","","0","0","0","","","","","",""
"946","0","0","0","","","","","","","","","","","",""
"949","","","","","","","0","0","0","","","","","",""
"955","","","","","","","","","","5","5","5","","",""
"962","","","","","","","0","0","0","","","","","",""
"963","","","","","","","","","","8","8","8","","",""
"968","","","","0","0","0","","","","","","","","",""
"976","","","","","","","0","0","0","","","","","",""
"983","","","","","","","","","","5","5","5","","",""
