"Step","102-static-1","102-static-1 - drop-0__MIN","102-static-1 - drop-0__MAX","102-ofb","102-ofbt - drop-0__MIN","102-ofbt - drop-0__MAX","102-dynamic","102-dynamic - drop-0__MIN","102-dynamic - drop-0__MAX","102-every-10","102-every-10 - drop-0__MIN","102-every-10 - drop-0__MAX","102-every-100","102-every-100 - drop-0__MIN","102-every-100 - drop-0__MAX"
"1227","","","","","","","","","","0","0","0","","",""
"1229","","","","","","","8","8","8","","","","","",""
"1230","0","0","0","","","","3","3","3","","","","","",""
"1231","0","0","0","","","","","","","","","","","",""
"1235","","","","0","0","0","","","","","","","0","0","0"
"1238","","","","","","","","","","0","0","0","","",""
"1239","","","","","","","","","","","","","0","0","0"
"1240","","","","0","0","0","","","","","","","","",""
"1246","","","","","","","","","","0","0","0","","",""
"1250","","","","0","0","0","","","","","","","","",""
"1254","","","","0","0","0","","","","","","","","",""
"1260","","","","","","","3","3","3","","","","","",""
"1270","","","","","","","","","","0","0","0","","",""
"1271","0","0","0","","","","","","","","","","","",""
"1273","","","","","","","","","","","","","0","0","0"
"1283","","","","","","","","","","","","","0","0","0"
"1289","","","","","","","","","","","","","0","0","0"
"1290","","","","","","","2","2","2","","","","","",""
"1295","0","0","0","","","","","","","","","","0","0","0"
"1296","","","","","","","5","5","5","","","","","",""
"1297","","","","","","","","","","","","","0","0","0"
"1311","","","","","","","","","","0","0","0","","",""
"1318","","","","","","","5","5","5","","","","","",""
"1328","0","0","0","","","","","","","","","","","",""
"1331","0","0","0","","","","","","","","","","","",""
"1335","0","0","0","","","","","","","","","","","",""
"1347","","","","0","0","0","","","","","","","","",""
"1348","","","","","","","","","","0","0","0","","",""
"1355","","","","","","","","","","","","","0","0","0"
"1357","","","","","","","","","","","","","0","0","0"
"1362","","","","0","0","0","","","","0","0","0","","",""
"1364","0","0","0","","","","","","","","","","","",""
"1368","","","","0","0","0","","","","","","","","",""
"1370","","","","","","","","","","0","0","0","","",""
"1372","","","","","","","0","0","0","","","","","",""
"1374","","","","","","","","","","","","","0","0","0"
"1377","","","","","","","0","0","0","","","","","",""
"1381","0","0","0","","","","","","","","","","","",""
"1385","","","","0","0","0","","","","","","","","",""
"1386","","","","","","","","","","0","0","0","","",""
"1395","","","","0","0","0","","","","","","","","",""
"1399","","","","","","","0","0","0","","","","","",""
"1401","","","","0","0","0","0","0","0","0","0","0","","",""
"1402","","","","","","","","","","0","0","0","","",""
"1406","0","0","0","","","","","","","","","","","",""
"1407","","","","","","","","","","0","0","0","","",""
"1409","","","","","","","0","0","0","","","","","",""
"1414","","","","","","","","","","","","","0","0","0"
"1416","0","0","0","","","","","","","","","","","",""
"1420","","","","","","","","","","0","0","0","","",""
"1421","","","","0","0","0","","","","","","","","",""
"1423","0","0","0","","","","","","","","","","","",""
"1424","","","","","","","0","0","0","","","","","",""
"1426","","","","","","","0","0","0","","","","","",""
"1433","","","","","","","0","0","0","","","","","",""
"1441","","","","0","0","0","0","0","0","","","","","",""
"1442","","","","0","0","0","","","","","","","","",""
"1445","0","0","0","","","","","","","","","","","",""
"1448","","","","","","","","","","","","","0","0","0"
"1449","","","","0","0","0","","","","","","","","",""
"1450","","","","0","0","0","","","","","","","","",""
"1451","","","","","","","","","","0","0","0","","",""
"1452","","","","0","0","0","","","","","","","","",""
"1454","","","","","","","0","0","0","","","","","",""
"1455","","","","","","","","","","","","","0","0","0"
"1457","","","","","","","","","","","","","0","0","0"
"1458","","","","","","","","","","","","","0","0","0"
"1461","","","","","","","0","0","0","","","","","",""
"1477","","","","","","","","","","","","","0","0","0"
"1481","0","0","0","","","","","","","","","","","",""
"1490","0","0","0","","","","","","","","","","","",""
"1493","","","","","","","3","3","3","","","","","",""
"1498","","","","","","","","","","0","0","0","0","0","0"
"1501","0","0","0","","","","","","","0","0","0","","",""
"1511","","","","0","0","0","","","","","","","","",""
"1515","","","","0","0","0","","","","","","","","",""
"1524","","","","0","0","0","","","","","","","","",""
"1527","","","","","","","","","","0","0","0","","",""
"1534","0","0","0","","","","","","","","","","","",""
"1535","0","0","0","","","","","","","","","","","",""
"1540","0","0","0","","","","","","","","","","0","0","0"
"1542","0","0","0","","","","","","","","","","","",""
"1543","","","","","","","","","","","","","0","0","0"
"1544","0","0","0","","","","","","","","","","","",""
"1548","","","","","","","4","4","4","","","","","",""
"1550","0","0","0","","","","","","","","","","","",""
"1551","","","","0","0","0","","","","0","0","0","","",""
"1552","0","0","0","","","","3","3","3","","","","","",""
"1554","","","","","","","","","","0","0","0","","",""
"1556","0","0","0","","","","","","","","","","","",""
"1557","","","","0","0","0","","","","","","","","",""
"1563","","","","","","","8","8","8","","","","","",""
"1564","0","0","0","","","","","","","","","","","",""
"1567","","","","","","","","","","0","0","0","","",""
"1568","0","0","0","","","","4","4","4","","","","","",""
"1575","","","","","","","5","5","5","","","","","",""
"1576","","","","0","0","0","","","","","","","","",""
"1589","","","","","","","","","","","","","0","0","0"
"1593","","","","","","","","","","","","","0","0","0"
"1596","","","","","","","6","6","6","0","0","0","","",""
"1600","5","5","5","","","","","","","","","","","",""
"1603","","","","","","","","","","","","","0","0","0"
"1607","","","","","","","","","","","","","0","0","0"
"1608","5","5","5","","","","","","","","","","","",""
"1611","7","7","7","","","","","","","","","","","",""
"1612","3","3","3","","","","","","","","","","","",""
"1618","","","","","","","","","","","","","0","0","0"
"1622","","","","","","","5","5","5","","","","","",""
"1623","","","","","","","6","6","6","","","","","",""
"1627","","","","","","","","","","0","0","0","","",""
"1628","5","5","5","","","","","","","","","","","",""
"1634","","","","","","","","","","","","","0","0","0"
"1635","7","7","7","","","","","","","","","","","",""
"1637","","","","","","","","","","","","","0","0","0"
"1638","","","","","","","","","","0","0","0","","",""
"1640","","","","","","","5","5","5","","","","","",""
"1651","","","","","","","0","0","0","","","","","",""
"1656","","","","","","","0","0","0","","","","","",""
"1668","","","","0","0","0","","","","","","","","",""
"1670","6","6","6","0","0","0","","","","","","","","",""
"1676","7","7","7","","","","","","","","","","","",""
"1677","","","","","","","","","","0","0","0","","",""
"1681","","","","","","","","","","","","","0","0","0"
"1687","","","","0","0","0","","","","","","","","",""
"1688","","","","","","","4","4","4","","","","","",""
"1696","","","","","","","0","0","0","","","","","",""
"1698","","","","0","0","0","","","","","","","","",""
"1699","","","","","","","","","","","","","0","0","0"
"1700","","","","","","","0","0","0","","","","","",""
"1705","","","","","","","","","","","","","0","0","0"
"1708","","","","","","","","","","","","","0","0","0"
"1709","","","","","","","","","","2","2","2","","",""
"1710","","","","0","0","0","","","","","","","","",""
"1711","","","","","","","","","","2","2","2","","",""
"1713","","","","","","","3","3","3","","","","","",""
"1714","","","","","","","","","","","","","0","0","0"
"1716","","","","","","","","","","0","0","0","","",""
"1717","","","","","","","","","","0","0","0","","",""
"1720","","","","","","","8","8","8","","","","","",""
"1727","4","4","4","","","","","","","","","","","",""
"1736","","","","","","","","","","0","0","0","","",""
"1740","11","11","11","","","","","","","","","","","",""
"1743","5","5","5","","","","","","","","","","","",""
"1744","10","10","10","","","","","","","","","","","",""
"1758","","","","","","","","","","","","","0","0","0"
"1763","","","","","","","","","","","","","0","0","0"
"1764","","","","","","","7","7","7","","","","","",""
"1765","","","","0","0","0","","","","","","","","",""
"1766","10","10","10","","","","","","","","","","","",""
"1768","","","","0","0","0","","","","","","","","",""
"1769","9","9","9","","","","","","","","","","","",""
"1772","","","","","","","","","","0","0","0","","",""
"1773","","","","0","0","0","","","","","","","","",""
"1774","","","","","","","3","3","3","","","","0","0","0"
"1777","","","","","","","1","1","1","","","","","",""
"1778","","","","0","0","0","","","","","","","0","0","0"
"1783","","","","","","","","","","0","0","0","","",""
"1788","","","","0","0","0","","","","","","","","",""
"1796","6","6","6","","","","","","","","","","","",""
"1800","","","","","","","4","4","4","","","","","",""
"1802","3","3","3","","","","","","","0","0","0","","",""
"1803","","","","","","","0","0","0","0","0","0","","",""
"1805","0","0","0","","","","6","6","6","","","","","",""
"1808","","","","0","0","0","","","","","","","","",""
"1815","","","","","","","3","3","3","","","","","",""
"1820","","","","0","0","0","","","","","","","0","0","0"
"1821","2","2","2","","","","","","","","","","","",""
"1825","7","7","7","0","0","0","","","","","","","","",""
"1827","","","","","","","","","","","","","0","0","0"
"1828","","","","","","","","","","0","0","0","","",""
"1835","","","","","","","","","","0","0","0","","",""
"1837","","","","","","","","","","0","0","0","","",""
"1839","","","","0","0","0","","","","","","","","",""
"1846","5","5","5","","","","","","","","","","","",""
"1847","","","","","","","10","10","10","","","","","",""
"1852","5","5","5","","","","","","","","","","","",""
"1854","","","","","","","8","8","8","","","","0","0","0"
"1856","","","","","","","4","4","4","","","","","",""
"1858","6","6","6","","","","","","","","","","","",""
"1862","","","","","","","1","1","1","","","","","",""
"1865","","","","","","","4","4","4","","","","","",""
"1871","","","","","","","","","","0","0","0","","",""
"1882","","","","","","","","","","","","","0","0","0"
"1886","","","","0","0","0","","","","","","","","",""
"1890","","","","","","","","","","","","","0","0","0"
"1893","","","","","","","10","10","10","","","","","",""
"1894","5","5","5","","","","","","","","","","","",""
"1896","","","","","","","2","2","2","","","","","",""
"1899","","","","","","","","","","","","","0","0","0"
"1904","","","","","","","","","","","","","0","0","0"
"1907","2","2","2","","","","","","","0","0","0","","",""
"1909","5","5","5","","","","","","","","","","","",""
"1914","","","","","","","","","","0","0","0","","",""
"1915","3","3","3","","","","","","","","","","","",""
